Model,MSE,RMSE,MAE,R2
Linear Regression,649170.1876800539,805.7109827227465,657.7238421882694,0.18776729907172152
Linear Regression with Engineered Features,239856.54902070353,489.7515176298115,395.37214405605766,0.6946786082629299
MLP with Engineered Features,26901.457627122916,164.01663826308268,118.09287682699583,0.9657562384016456
LSTM with Engineered Features,20508.907877070968,143.20931491027727,103.19405405122271,0.9738935279551462
Stacked Model with Engineered Features,26980.72564581095,164.25810678870906,118.28014954164439,0.9656553354999533
Linear Regression with Engineered Features - Except Solar,342977.48149380274,585.6427934277026,466.783948951885,0.5634125379869275
MLP with Engineered Features - Except Solar,45649.325960391,213.65702881110886,152.12686043284782,0.9418914522409697
LSTM with Engineered Features - Except Solar,26551.93953473604,162.9476588808076,117.25910001040245,0.9662011516480986
