Model,MSE,RMSE,MAE,R2
Linear Regression,649170.1876800539,805.7109827227465,657.7238421882694,0.18776729907172152
Linear Regression with Engineered Features,239856.54902070353,489.7515176298115,395.37214405605766,0.6946786082629299
MLP with Engineered Features,26901.457627122916,164.01663826308268,118.09287682699583,0.9657562384016456
LSTM,20169.526334724287,142.01945759199438,100.54260319381058,0.9743255380261319
Stacked Model with Engineered Features,26980.72564581095,164.25810678870906,118.28014954164439,0.9656553354999533
