C,SETP.WORLD,DVD_ROOFTOP_PV_ACTUAL,AEMO,PUBLIC,2019/10/18,09:55:01,0000000314178194,DEMAND,0000000314178130
D,ROOFTOP,ACTUAL,2,"2019/04/01 03:00:00",TAS1,0,0.6,SATELLITE,"2019/04/01 03:20:34"
D,ROOFTOP,ACTUAL,2,"2019/04/01 03:00:00",TAS1,0,1,DAILY,"2019/04/01 23:30:36"
D,ROOFTOP,ACTUAL,2,"2019/04/01 03:00:00",TASN,0,0.6,SATELLITE,"2019/04/01 03:20:34"
D,ROOFTOP,ACTUAL,2,"2019/04/01 03:00:00",TASN,0,1,MEASUREMENT,"2019/04/01 03:19:48"
D,ROOFTOP,ACTUAL,2,"2019/04/01 03:00:00",TASS,0,0.6,SATELLITE,"2019/04/01 03:20:34"
D,ROOFTOP,ACTUAL,2,"2019/04/01 03:00:00",TASS,0,1,MEASUREMENT,"2019/04/01 03:19:48"
D,ROOFTOP,ACTUAL,2,"2019/04/01 03:00:00",VIC1,0,0.6,SATELLITE,"2019/04/01 03:20:34"
D,ROOFTOP,ACTUAL,2,"2019/04/01 03:00:00",VIC1,0,1,MEASUREMENT,"2019/04/01 03:19:48"
D,ROOFTOP,ACTUAL,2,"2019/04/01 03:00:00",VIC1,0,1,DAILY,"2019/04/01 23:30:36"
D,ROOFTOP,ACTUAL,2,"2019/04/01 03:30:00",NSW1,0,1,MEASUREMENT,"2019/04/01 03:49:53"
D,ROOFTOP,ACTUAL,2,"2019/04/01 03:30:00",NSW1,0,1,DAILY,"2019/04/01 23:30:35"
D,ROOFTOP,ACTUAL,2,"2019/04/01 03:30:00",NSW1,0,0.6,SATELLITE,"2019/04/01 03:50:30"
D,ROOFTOP,ACTUAL,2,"2019/04/01 03:30:00",QLD1,0,1,MEASUREMENT,"2019/04/01 03:49:53"
D,ROOFTOP,ACTUAL,2,"2019/04/01 03:30:00",QLD1,0,1,DAILY,"2019/04/01 23:30:35"
