,Calendar_Date,DayOfWeek,Week,Quarter,Month,Year,Year_half,Summer,Autumn,Winter,Spring,is_weekday,Description,is_holiday
89,2014-03-31,1,14,1,3,2014,1,0,1,0,0,1,,0
90,2014-04-01,2,14,2,4,2014,1,0,1,0,0,1,,0
91,2014-04-02,3,14,2,4,2014,1,0,1,0,0,1,,0
92,2014-04-03,4,14,2,4,2014,1,0,1,0,0,1,,0
93,2014-04-04,5,14,2,4,2014,1,0,1,0,0,1,,0
94,2014-04-05,6,14,2,4,2014,1,0,1,0,0,0,,0
95,2014-04-06,7,14,2,4,2014,1,0,1,0,0,0,,0
96,2014-04-07,1,15,2,4,2014,1,0,1,0,0,1,,0
97,2014-04-08,2,15,2,4,2014,1,0,1,0,0,1,,0
98,2014-04-09,3,15,2,4,2014,1,0,1,0,0,1,,0
99,2014-04-10,4,15,2,4,2014,1,0,1,0,0,1,,0
100,2014-04-11,5,15,2,4,2014,1,0,1,0,0,1,,0
101,2014-04-12,6,15,2,4,2014,1,0,1,0,0,0,,0
102,2014-04-13,7,15,2,4,2014,1,0,1,0,0,0,,0
103,2014-04-14,1,16,2,4,2014,1,0,1,0,0,1,,0
104,2014-04-15,2,16,2,4,2014,1,0,1,0,0,1,,0
105,2014-04-16,3,16,2,4,2014,1,0,1,0,0,1,,0
106,2014-04-17,4,16,2,4,2014,1,0,1,0,0,1,,0
107,2014-04-18,5,16,2,4,2014,1,0,1,0,0,1,Good Friday,1
108,2014-04-19,6,16,2,4,2014,1,0,1,0,0,0,Easter Saturday,1
109,2014-04-20,7,16,2,4,2014,1,0,1,0,0,0,Easter Sunday,1
110,2014-04-21,1,17,2,4,2014,1,0,1,0,0,1,Easter Monday,1
111,2014-04-22,2,17,2,4,2014,1,0,1,0,0,1,,0
112,2014-04-23,3,17,2,4,2014,1,0,1,0,0,1,,0
113,2014-04-24,4,17,2,4,2014,1,0,1,0,0,1,,0
114,2014-04-25,5,17,2,4,2014,1,0,1,0,0,1,Anzac Day,1
115,2014-04-26,6,17,2,4,2014,1,0,1,0,0,0,,0
116,2014-04-27,7,17,2,4,2014,1,0,1,0,0,0,,0
117,2014-04-28,1,18,2,4,2014,1,0,1,0,0,1,,0
118,2014-04-29,2,18,2,4,2014,1,0,1,0,0,1,,0
119,2014-04-30,3,18,2,4,2014,1,0,1,0,0,1,,0
120,2014-05-01,4,18,2,5,2014,1,0,1,0,0,1,,0
121,2014-05-02,5,18,2,5,2014,1,0,1,0,0,1,,0
122,2014-05-03,6,18,2,5,2014,1,0,1,0,0,0,,0
123,2014-05-04,7,18,2,5,2014,1,0,1,0,0,0,,0
124,2014-05-05,1,19,2,5,2014,1,0,1,0,0,1,,0
125,2014-05-06,2,19,2,5,2014,1,0,1,0,0,1,,0
126,2014-05-07,3,19,2,5,2014,1,0,1,0,0,1,,0
127,2014-05-08,4,19,2,5,2014,1,0,1,0,0,1,,0
