C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/08/06,16:30:02,0000000393906646,DEMAND,0000000393906645
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/08/06 16:00:00",NSW1,710.917,0.6,SATELLITE,"2023/08/06 16:20:24"
D,ROOFTOP,ACTUAL,2,"2023/08/06 16:00:00",QLD1,821.818,0.6,SATELLITE,"2023/08/06 16:20:24"
D,ROOFTOP,ACTUAL,2,"2023/08/06 16:00:00",QLDC,82.71,0.6,SATELLITE,"2023/08/06 16:20:24"
D,ROOFTOP,ACTUAL,2,"2023/08/06 16:00:00",QLDN,253.034,0.6,SATELLITE,"2023/08/06 16:20:24"
D,ROOFTOP,ACTUAL,2,"2023/08/06 16:00:00",QLDS,486.074,0.6,SATELLITE,"2023/08/06 16:20:24"
D,ROOFTOP,ACTUAL,2,"2023/08/06 16:00:00",SA1,502.112,0.6,SATELLITE,"2023/08/06 16:20:24"
D,ROOFTOP,ACTUAL,2,"2023/08/06 16:00:00",TAS1,32.293,0.6,SATELLITE,"2023/08/06 16:20:24"
D,ROOFTOP,ACTUAL,2,"2023/08/06 16:00:00",TASN,20.583,0.6,SATELLITE,"2023/08/06 16:20:24"
D,ROOFTOP,ACTUAL,2,"2023/08/06 16:00:00",TASS,11.71,0.6,SATELLITE,"2023/08/06 16:20:24"
D,ROOFTOP,ACTUAL,2,"2023/08/06 16:00:00",VIC1,496.113,0.6,SATELLITE,"2023/08/06 16:20:24"
C,"END OF REPORT",13
