C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/02/04,08:30:01,0000000410198136,DEMAND,0000000410198135
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/02/04 08:00:00",NSW1,1750.853,0.6,SATELLITE,"2024/02/04 08:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/04 08:00:00",QLD1,1642.28,0.6,SATELLITE,"2024/02/04 08:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/04 08:00:00",QLDC,187.186,0.6,SATELLITE,"2024/02/04 08:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/04 08:00:00",QLDN,202.688,0.6,SATELLITE,"2024/02/04 08:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/04 08:00:00",QLDS,1252.407,0.6,SATELLITE,"2024/02/04 08:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/04 08:00:00",SA1,544.917,0.6,SATELLITE,"2024/02/04 08:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/04 08:00:00",TAS1,51.431,0.6,SATELLITE,"2024/02/04 08:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/04 08:00:00",TASN,42.86,0.6,SATELLITE,"2024/02/04 08:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/04 08:00:00",TASS,8.571,0.6,SATELLITE,"2024/02/04 08:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/04 08:00:00",VIC1,1341.38,0.6,SATELLITE,"2024/02/04 08:20:22"
C,"END OF REPORT",13
