C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/04/27,17:30:02,0000000385879144,DEMAND,0000000385879144
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/04/27 17:00:00",NSW1,202.887,1,MEASUREMENT,"2023/04/27 17:19:19"
D,ROOFTOP,ACTUAL,2,"2023/04/27 17:00:00",QLD1,240.357,1,MEASUREMENT,"2023/04/27 17:19:19"
D,ROOFTOP,ACTUAL,2,"2023/04/27 17:00:00",QLDC,22.478,1,MEASUREMENT,"2023/04/27 17:19:19"
D,ROOFTOP,ACTUAL,2,"2023/04/27 17:00:00",QLDN,98.797,1,MEASUREMENT,"2023/04/27 17:19:19"
D,ROOFTOP,ACTUAL,2,"2023/04/27 17:00:00",QLDS,119.083,1,MEASUREMENT,"2023/04/27 17:19:19"
D,ROOFTOP,ACTUAL,2,"2023/04/27 17:00:00",SA1,333.208,1,MEASUREMENT,"2023/04/27 17:19:19"
D,ROOFTOP,ACTUAL,2,"2023/04/27 17:00:00",TAS1,4.29,1,MEASUREMENT,"2023/04/27 17:19:19"
D,ROOFTOP,ACTUAL,2,"2023/04/27 17:00:00",TASN,0.661,1,MEASUREMENT,"2023/04/27 17:19:19"
D,ROOFTOP,ACTUAL,2,"2023/04/27 17:00:00",TASS,3.612,1,MEASUREMENT,"2023/04/27 17:19:19"
D,ROOFTOP,ACTUAL,2,"2023/04/27 17:00:00",VIC1,170.52,1,MEASUREMENT,"2023/04/27 17:19:19"
C,"END OF REPORT",13
