C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/07/01,08:30:01,0000000390889494,DEMAND,0000000390889493
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/07/01 08:00:00",NSW1,396.606,0.6,SATELLITE,"2023/07/01 08:20:24"
D,ROOFTOP,ACTUAL,2,"2023/07/01 08:00:00",QLD1,567.661,0.6,SATELLITE,"2023/07/01 08:20:24"
D,ROOFTOP,ACTUAL,2,"2023/07/01 08:00:00",QLDC,65.368,0.6,SATELLITE,"2023/07/01 08:20:24"
D,ROOFTOP,ACTUAL,2,"2023/07/01 08:00:00",QLDN,68.846,0.6,SATELLITE,"2023/07/01 08:20:24"
D,ROOFTOP,ACTUAL,2,"2023/07/01 08:00:00",QLDS,433.447,0.6,SATELLITE,"2023/07/01 08:20:24"
D,ROOFTOP,ACTUAL,2,"2023/07/01 08:00:00",SA1,10.469,0.6,SATELLITE,"2023/07/01 08:20:24"
D,ROOFTOP,ACTUAL,2,"2023/07/01 08:00:00",TAS1,3.368,0.6,SATELLITE,"2023/07/01 08:20:24"
D,ROOFTOP,ACTUAL,2,"2023/07/01 08:00:00",TASN,2.012,0.6,SATELLITE,"2023/07/01 08:20:24"
D,ROOFTOP,ACTUAL,2,"2023/07/01 08:00:00",TASS,1.356,0.6,SATELLITE,"2023/07/01 08:20:24"
D,ROOFTOP,ACTUAL,2,"2023/07/01 08:00:00",VIC1,67.156,0.6,SATELLITE,"2023/07/01 08:20:24"
C,"END OF REPORT",13
