C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/06/08,17:30:01,0000000389106108,DEMAND,0000000389106108
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/06/08 17:00:00",NSW1,35.319,1,MEASUREMENT,"2023/06/08 17:19:20"
D,ROOFTOP,ACTUAL,2,"2023/06/08 17:00:00",QLD1,103.824,1,MEASUREMENT,"2023/06/08 17:19:20"
D,ROOFTOP,ACTUAL,2,"2023/06/08 17:00:00",QLDC,10.661,1,MEASUREMENT,"2023/06/08 17:19:21"
D,ROOFTOP,ACTUAL,2,"2023/06/08 17:00:00",QLDN,62.167,1,MEASUREMENT,"2023/06/08 17:19:21"
D,ROOFTOP,ACTUAL,2,"2023/06/08 17:00:00",QLDS,30.996,1,MEASUREMENT,"2023/06/08 17:19:21"
D,ROOFTOP,ACTUAL,2,"2023/06/08 17:00:00",SA1,92.813,1,MEASUREMENT,"2023/06/08 17:19:21"
D,ROOFTOP,ACTUAL,2,"2023/06/08 17:00:00",TAS1,0.273,1,MEASUREMENT,"2023/06/08 17:19:21"
D,ROOFTOP,ACTUAL,2,"2023/06/08 17:00:00",TASN,0.246,1,MEASUREMENT,"2023/06/08 17:19:21"
D,ROOFTOP,ACTUAL,2,"2023/06/08 17:00:00",TASS,0.029,1,MEASUREMENT,"2023/06/08 17:19:21"
D,ROOFTOP,ACTUAL,2,"2023/06/08 17:00:00",VIC1,39.526,1,MEASUREMENT,"2023/06/08 17:19:21"
C,"END OF REPORT",13
