C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/09/27,18:00:01,0000000398239751,DEMAND,0000000398239750
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/09/27 17:30:00",NSW1,217.396,0.6,SATELLITE,"2023/09/27 17:50:22"
D,ROOFTOP,ACTUAL,2,"2023/09/27 17:30:00",QLD1,230.724,0.6,SATELLITE,"2023/09/27 17:50:22"
D,ROOFTOP,ACTUAL,2,"2023/09/27 17:30:00",QLDC,22.359,0.6,SATELLITE,"2023/09/27 17:50:22"
D,ROOFTOP,ACTUAL,2,"2023/09/27 17:30:00",QLDN,79.263,0.6,SATELLITE,"2023/09/27 17:50:22"
D,ROOFTOP,ACTUAL,2,"2023/09/27 17:30:00",QLDS,129.102,0.6,SATELLITE,"2023/09/27 17:50:22"
D,ROOFTOP,ACTUAL,2,"2023/09/27 17:30:00",SA1,377.518,0.6,SATELLITE,"2023/09/27 17:50:22"
D,ROOFTOP,ACTUAL,2,"2023/09/27 17:30:00",TAS1,15.053,0.6,SATELLITE,"2023/09/27 17:50:22"
D,ROOFTOP,ACTUAL,2,"2023/09/27 17:30:00",TASN,10.618,0.6,SATELLITE,"2023/09/27 17:50:22"
D,ROOFTOP,ACTUAL,2,"2023/09/27 17:30:00",TASS,4.435,0.6,SATELLITE,"2023/09/27 17:50:22"
D,ROOFTOP,ACTUAL,2,"2023/09/27 17:30:00",VIC1,371.757,0.6,SATELLITE,"2023/09/27 17:50:22"
C,"END OF REPORT",13
