C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2024/03/18,12:00:02,0000000414027572,DEMAND,0000000414027572
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/03/18 11:30:00",NSW1,2407.791,1,MEASUREMENT,"2024/03/18 11:49:11"
D,ROOFTOP,ACTUAL,2,"2024/03/18 11:30:00",QLD1,3001.244,1,MEASUREMENT,"2024/03/18 11:49:11"
D,ROOFTOP,ACTUAL,2,"2024/03/18 11:30:00",QLDC,253.199,1,MEASUREMENT,"2024/03/18 11:49:11"
D,ROOFTOP,ACTUAL,2,"2024/03/18 11:30:00",QLDN,395.773,1,MEASUREMENT,"2024/03/18 11:49:11"
D,ROOFTOP,ACTUAL,2,"2024/03/18 11:30:00",QLDS,2352.272,1,MEASUREMENT,"2024/03/18 11:49:11"
D,ROOFTOP,ACTUAL,2,"2024/03/18 11:30:00",SA1,1178.892,1,MEASUREMENT,"2024/03/18 11:49:11"
D,ROOFTOP,ACTUAL,2,"2024/03/18 11:30:00",TAS1,158.699,1,MEASUREMENT,"2024/03/18 11:49:11"
D,ROOFTOP,ACTUAL,2,"2024/03/18 11:30:00",TASN,75.338,0.7,MEASUREMENT,"2024/03/18 11:49:11"
D,ROOFTOP,ACTUAL,2,"2024/03/18 11:30:00",TASS,83.269,1,MEASUREMENT,"2024/03/18 11:49:11"
D,ROOFTOP,ACTUAL,2,"2024/03/18 11:30:00",VIC1,2504.153,1,MEASUREMENT,"2024/03/18 11:49:11"
C,"END OF REPORT",13
