C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/06/20,17:30:01,0000000390045111,DEMAND,0000000390045111
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/06/20 17:00:00",NSW1,31.802,1,MEASUREMENT,"2023/06/20 17:19:21"
D,ROOFTOP,ACTUAL,2,"2023/06/20 17:00:00",QLD1,113.167,1,MEASUREMENT,"2023/06/20 17:19:21"
D,ROOFTOP,ACTUAL,2,"2023/06/20 17:00:00",QLDC,11.718,1,MEASUREMENT,"2023/06/20 17:19:21"
D,ROOFTOP,ACTUAL,2,"2023/06/20 17:00:00",QLDN,68.56,1,MEASUREMENT,"2023/06/20 17:19:21"
D,ROOFTOP,ACTUAL,2,"2023/06/20 17:00:00",QLDS,32.888,1,MEASUREMENT,"2023/06/20 17:19:21"
D,ROOFTOP,ACTUAL,2,"2023/06/20 17:00:00",SA1,90.684,1,MEASUREMENT,"2023/06/20 17:19:21"
D,ROOFTOP,ACTUAL,2,"2023/06/20 17:00:00",TAS1,0.536,1,MEASUREMENT,"2023/06/20 17:19:21"
D,ROOFTOP,ACTUAL,2,"2023/06/20 17:00:00",TASN,0.455,1,MEASUREMENT,"2023/06/20 17:19:21"
D,ROOFTOP,ACTUAL,2,"2023/06/20 17:00:00",TASS,0.083,1,MEASUREMENT,"2023/06/20 17:19:21"
D,ROOFTOP,ACTUAL,2,"2023/06/20 17:00:00",VIC1,34.566,1,MEASUREMENT,"2023/06/20 17:19:21"
C,"END OF REPORT",13
