C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/01/05,12:30:02,0000000407647795,DEMAND,0000000407647794
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/01/05 12:00:00",NSW1,2829.041,0.6,SATELLITE,"2024/01/05 12:20:22"
D,ROOFTOP,ACTUAL,2,"2024/01/05 12:00:00",QLD1,3179.839,0.6,SATELLITE,"2024/01/05 12:20:22"
D,ROOFTOP,ACTUAL,2,"2024/01/05 12:00:00",QLDC,393.276,0.6,SATELLITE,"2024/01/05 12:20:22"
D,ROOFTOP,ACTUAL,2,"2024/01/05 12:00:00",QLDN,662.684,0.6,SATELLITE,"2024/01/05 12:20:22"
D,ROOFTOP,ACTUAL,2,"2024/01/05 12:00:00",QLDS,2123.879,0.6,SATELLITE,"2024/01/05 12:20:22"
D,ROOFTOP,ACTUAL,2,"2024/01/05 12:00:00",SA1,1859.782,0.6,SATELLITE,"2024/01/05 12:20:22"
D,ROOFTOP,ACTUAL,2,"2024/01/05 12:00:00",TAS1,198.852,0.6,SATELLITE,"2024/01/05 12:20:22"
D,ROOFTOP,ACTUAL,2,"2024/01/05 12:00:00",TASN,94.042,0.6,SATELLITE,"2024/01/05 12:20:22"
D,ROOFTOP,ACTUAL,2,"2024/01/05 12:00:00",TASS,104.81,0.6,SATELLITE,"2024/01/05 12:20:22"
D,ROOFTOP,ACTUAL,2,"2024/01/05 12:00:00",VIC1,2580.663,0.6,SATELLITE,"2024/01/05 12:20:22"
C,"END OF REPORT",13
