C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/04/04,17:00:03,0000000384195773,DEMAND,0000000384195773
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/04/04 16:30:00",NSW1,943.492,1,MEASUREMENT,"2023/04/04 16:49:25"
D,ROOFTOP,ACTUAL,2,"2023/04/04 16:30:00",QLD1,747.61,1,MEASUREMENT,"2023/04/04 16:49:25"
D,ROOFTOP,ACTUAL,2,"2023/04/04 16:30:00",QLDC,72.843,1,MEASUREMENT,"2023/04/04 16:49:25"
D,ROOFTOP,ACTUAL,2,"2023/04/04 16:30:00",QLDN,199.568,1,MEASUREMENT,"2023/04/04 16:49:25"
D,ROOFTOP,ACTUAL,2,"2023/04/04 16:30:00",QLDS,475.199,1,MEASUREMENT,"2023/04/04 16:49:25"
D,ROOFTOP,ACTUAL,2,"2023/04/04 16:30:00",SA1,709.896,1,MEASUREMENT,"2023/04/04 16:49:25"
D,ROOFTOP,ACTUAL,2,"2023/04/04 16:30:00",TAS1,40.596,1,MEASUREMENT,"2023/04/04 16:49:25"
D,ROOFTOP,ACTUAL,2,"2023/04/04 16:30:00",TASN,29.053,1,MEASUREMENT,"2023/04/04 16:49:26"
D,ROOFTOP,ACTUAL,2,"2023/04/04 16:30:00",TASS,11.628,1,MEASUREMENT,"2023/04/04 16:49:26"
D,ROOFTOP,ACTUAL,2,"2023/04/04 16:30:00",VIC1,802.177,1,MEASUREMENT,"2023/04/04 16:49:26"
C,"END OF REPORT",13
