C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2024/01/15,12:00:02,0000000408468422,DEMAND,0000000408468422
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/01/15 11:30:00",NSW1,1733.47,1,MEASUREMENT,"2024/01/15 11:49:08"
D,ROOFTOP,ACTUAL,2,"2024/01/15 11:30:00",QLD1,2317.917,1,MEASUREMENT,"2024/01/15 11:49:08"
D,ROOFTOP,ACTUAL,2,"2024/01/15 11:30:00",QLDC,248.839,1,MEASUREMENT,"2024/01/15 11:49:08"
D,ROOFTOP,ACTUAL,2,"2024/01/15 11:30:00",QLDN,357.348,1,MEASUREMENT,"2024/01/15 11:49:08"
D,ROOFTOP,ACTUAL,2,"2024/01/15 11:30:00",QLDS,1711.73,1,MEASUREMENT,"2024/01/15 11:49:08"
D,ROOFTOP,ACTUAL,2,"2024/01/15 11:30:00",SA1,1452.475,1,MEASUREMENT,"2024/01/15 11:49:09"
D,ROOFTOP,ACTUAL,2,"2024/01/15 11:30:00",TAS1,181.235,1,MEASUREMENT,"2024/01/15 11:49:09"
D,ROOFTOP,ACTUAL,2,"2024/01/15 11:30:00",TASN,78.955,1,MEASUREMENT,"2024/01/15 11:49:09"
D,ROOFTOP,ACTUAL,2,"2024/01/15 11:30:00",TASS,102.077,1,MEASUREMENT,"2024/01/15 11:49:09"
D,ROOFTOP,ACTUAL,2,"2024/01/15 11:30:00",VIC1,2634.585,1,MEASUREMENT,"2024/01/15 11:49:09"
C,"END OF REPORT",13
