C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/07/19,10:30:02,0000000392408137,DEMAND,0000000392408137
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/07/19 10:00:00",NSW1,2111.292,1,MEASUREMENT,"2023/07/19 10:19:46"
D,ROOFTOP,ACTUAL,2,"2023/07/19 10:00:00",QLD1,2350.222,1,MEASUREMENT,"2023/07/19 10:19:46"
D,ROOFTOP,ACTUAL,2,"2023/07/19 10:00:00",QLDC,202.425,1,MEASUREMENT,"2023/07/19 10:19:46"
D,ROOFTOP,ACTUAL,2,"2023/07/19 10:00:00",QLDN,386.714,1,MEASUREMENT,"2023/07/19 10:19:46"
D,ROOFTOP,ACTUAL,2,"2023/07/19 10:00:00",QLDS,1761.084,1,MEASUREMENT,"2023/07/19 10:19:46"
D,ROOFTOP,ACTUAL,2,"2023/07/19 10:00:00",SA1,504.703,1,MEASUREMENT,"2023/07/19 10:19:46"
D,ROOFTOP,ACTUAL,2,"2023/07/19 10:00:00",TAS1,59.004,1,MEASUREMENT,"2023/07/19 10:19:46"
D,ROOFTOP,ACTUAL,2,"2023/07/19 10:00:00",TASN,39.725,1,MEASUREMENT,"2023/07/19 10:19:46"
D,ROOFTOP,ACTUAL,2,"2023/07/19 10:00:00",TASS,19.377,1,MEASUREMENT,"2023/07/19 10:19:46"
D,ROOFTOP,ACTUAL,2,"2023/07/19 10:00:00",VIC1,867.753,1,MEASUREMENT,"2023/07/19 10:19:46"
C,"END OF REPORT",13
