C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/06/04,11:00:03,0000000388766663,DEMAND,0000000388766663
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/06/04 10:30:00",NSW1,937.643,1,MEASUREMENT,"2023/06/04 10:49:10"
D,ROOFTOP,ACTUAL,2,"2023/06/04 10:30:00",QLD1,1320.218,1,MEASUREMENT,"2023/06/04 10:49:10"
D,ROOFTOP,ACTUAL,2,"2023/06/04 10:30:00",QLDC,167.737,1,MEASUREMENT,"2023/06/04 10:49:10"
D,ROOFTOP,ACTUAL,2,"2023/06/04 10:30:00",QLDN,306.456,1,MEASUREMENT,"2023/06/04 10:49:10"
D,ROOFTOP,ACTUAL,2,"2023/06/04 10:30:00",QLDS,846.025,1,MEASUREMENT,"2023/06/04 10:49:10"
D,ROOFTOP,ACTUAL,2,"2023/06/04 10:30:00",SA1,292.641,1,MEASUREMENT,"2023/06/04 10:49:10"
D,ROOFTOP,ACTUAL,2,"2023/06/04 10:30:00",TAS1,84.726,1,MEASUREMENT,"2023/06/04 10:49:10"
D,ROOFTOP,ACTUAL,2,"2023/06/04 10:30:00",TASN,49.387,1,MEASUREMENT,"2023/06/04 10:49:10"
D,ROOFTOP,ACTUAL,2,"2023/06/04 10:30:00",TASS,35.393,1,MEASUREMENT,"2023/06/04 10:49:10"
D,ROOFTOP,ACTUAL,2,"2023/06/04 10:30:00",VIC1,846.73,1,MEASUREMENT,"2023/06/04 10:49:10"
C,"END OF REPORT",13
