C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2024/01/21,08:00:02,0000000408976548,DEMAND,0000000408976548
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/01/21 07:30:00",NSW1,1632.766,1,MEASUREMENT,"2024/01/21 07:49:16"
D,ROOFTOP,ACTUAL,2,"2024/01/21 07:30:00",QLD1,1084.224,1,MEASUREMENT,"2024/01/21 07:49:16"
D,ROOFTOP,ACTUAL,2,"2024/01/21 07:30:00",QLDC,146.914,1,MEASUREMENT,"2024/01/21 07:49:17"
D,ROOFTOP,ACTUAL,2,"2024/01/21 07:30:00",QLDN,93.825,1,MEASUREMENT,"2024/01/21 07:49:17"
D,ROOFTOP,ACTUAL,2,"2024/01/21 07:30:00",QLDS,843.486,1,MEASUREMENT,"2024/01/21 07:49:17"
D,ROOFTOP,ACTUAL,2,"2024/01/21 07:30:00",SA1,253.137,1,MEASUREMENT,"2024/01/21 07:49:17"
D,ROOFTOP,ACTUAL,2,"2024/01/21 07:30:00",TAS1,43.269,1,MEASUREMENT,"2024/01/21 07:49:17"
D,ROOFTOP,ACTUAL,2,"2024/01/21 07:30:00",TASN,28.807,1,MEASUREMENT,"2024/01/21 07:49:17"
D,ROOFTOP,ACTUAL,2,"2024/01/21 07:30:00",TASS,14.541,1,MEASUREMENT,"2024/01/21 07:49:17"
D,ROOFTOP,ACTUAL,2,"2024/01/21 07:30:00",VIC1,538.636,1,MEASUREMENT,"2024/01/21 07:49:17"
C,"END OF REPORT",13
