C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/05/12,15:00:03,0000000387008696,DEMAND,0000000387008696
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/05/12 14:30:00",NSW1,1987.171,1,MEASUREMENT,"2023/05/12 14:49:20"
D,ROOFTOP,ACTUAL,2,"2023/05/12 14:30:00",QLD1,1949.321,1,MEASUREMENT,"2023/05/12 14:49:20"
D,ROOFTOP,ACTUAL,2,"2023/05/12 14:30:00",QLDC,145.678,1,MEASUREMENT,"2023/05/12 14:49:20"
D,ROOFTOP,ACTUAL,2,"2023/05/12 14:30:00",QLDN,273.372,1,MEASUREMENT,"2023/05/12 14:49:20"
D,ROOFTOP,ACTUAL,2,"2023/05/12 14:30:00",QLDS,1530.271,1,MEASUREMENT,"2023/05/12 14:49:21"
D,ROOFTOP,ACTUAL,2,"2023/05/12 14:30:00",SA1,760.735,1,MEASUREMENT,"2023/05/12 14:49:21"
D,ROOFTOP,ACTUAL,2,"2023/05/12 14:30:00",TAS1,91.4,1,MEASUREMENT,"2023/05/12 14:49:21"
D,ROOFTOP,ACTUAL,2,"2023/05/12 14:30:00",TASN,49.478,1,MEASUREMENT,"2023/05/12 14:49:21"
D,ROOFTOP,ACTUAL,2,"2023/05/12 14:30:00",TASS,41.939,1,MEASUREMENT,"2023/05/12 14:49:21"
D,ROOFTOP,ACTUAL,2,"2023/05/12 14:30:00",VIC1,1042.022,1,MEASUREMENT,"2023/05/12 14:49:21"
C,"END OF REPORT",13
