C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2024/02/16,13:30:01,0000000411261517,DEMAND,0000000411261517
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/02/16 13:00:00",NSW1,3049.634,1,MEASUREMENT,"2024/02/16 13:19:12"
D,ROOFTOP,ACTUAL,2,"2024/02/16 13:00:00",QLD1,1106.553,1,MEASUREMENT,"2024/02/16 13:19:12"
D,ROOFTOP,ACTUAL,2,"2024/02/16 13:00:00",QLDC,171.158,1,MEASUREMENT,"2024/02/16 13:19:12"
D,ROOFTOP,ACTUAL,2,"2024/02/16 13:00:00",QLDN,314.109,1,MEASUREMENT,"2024/02/16 13:19:12"
D,ROOFTOP,ACTUAL,2,"2024/02/16 13:00:00",QLDS,621.286,1,MEASUREMENT,"2024/02/16 13:19:12"
D,ROOFTOP,ACTUAL,2,"2024/02/16 13:00:00",SA1,1585.28,1,MEASUREMENT,"2024/02/16 13:19:12"
D,ROOFTOP,ACTUAL,2,"2024/02/16 13:00:00",TAS1,212.224,1,MEASUREMENT,"2024/02/16 13:19:12"
D,ROOFTOP,ACTUAL,2,"2024/02/16 13:00:00",TASN,116.981,1,MEASUREMENT,"2024/02/16 13:19:12"
D,ROOFTOP,ACTUAL,2,"2024/02/16 13:00:00",TASS,95.324,1,MEASUREMENT,"2024/02/16 13:19:12"
D,ROOFTOP,ACTUAL,2,"2024/02/16 13:00:00",VIC1,2627.036,1,MEASUREMENT,"2024/02/16 13:19:12"
C,"END OF REPORT",13
