C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/08/16,09:30:02,0000000394700615,DEMAND,0000000394700614
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/08/16 09:00:00",NSW1,1454.759,0.6,SATELLITE,"2023/08/16 09:20:24"
D,ROOFTOP,ACTUAL,2,"2023/08/16 09:00:00",QLD1,1756.22,0.6,SATELLITE,"2023/08/16 09:20:24"
D,ROOFTOP,ACTUAL,2,"2023/08/16 09:00:00",QLDC,163.758,0.6,SATELLITE,"2023/08/16 09:20:24"
D,ROOFTOP,ACTUAL,2,"2023/08/16 09:00:00",QLDN,296.297,0.6,SATELLITE,"2023/08/16 09:20:24"
D,ROOFTOP,ACTUAL,2,"2023/08/16 09:00:00",QLDS,1296.166,0.6,SATELLITE,"2023/08/16 09:20:24"
D,ROOFTOP,ACTUAL,2,"2023/08/16 09:00:00",SA1,358.869,0.6,SATELLITE,"2023/08/16 09:20:24"
D,ROOFTOP,ACTUAL,2,"2023/08/16 09:00:00",TAS1,39.686,0.6,SATELLITE,"2023/08/16 09:20:24"
D,ROOFTOP,ACTUAL,2,"2023/08/16 09:00:00",TASN,16.744,0.6,SATELLITE,"2023/08/16 09:20:24"
D,ROOFTOP,ACTUAL,2,"2023/08/16 09:00:00",TASS,22.943,0.6,SATELLITE,"2023/08/16 09:20:24"
D,ROOFTOP,ACTUAL,2,"2023/08/16 09:00:00",VIC1,852.778,0.6,SATELLITE,"2023/08/16 09:20:24"
C,"END OF REPORT",13
