C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/05/24,11:30:03,0000000387914903,DEMAND,0000000387914902
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/05/24 11:00:00",NSW1,2271.096,0.6,SATELLITE,"2023/05/24 11:20:29"
D,ROOFTOP,ACTUAL,2,"2023/05/24 11:00:00",QLD1,2547.171,0.6,SATELLITE,"2023/05/24 11:20:29"
D,ROOFTOP,ACTUAL,2,"2023/05/24 11:00:00",QLDC,251.104,0.6,SATELLITE,"2023/05/24 11:20:29"
D,ROOFTOP,ACTUAL,2,"2023/05/24 11:00:00",QLDN,406.297,0.6,SATELLITE,"2023/05/24 11:20:29"
D,ROOFTOP,ACTUAL,2,"2023/05/24 11:00:00",QLDS,1889.77,0.6,SATELLITE,"2023/05/24 11:20:29"
D,ROOFTOP,ACTUAL,2,"2023/05/24 11:00:00",SA1,742.602,0.6,SATELLITE,"2023/05/24 11:20:29"
D,ROOFTOP,ACTUAL,2,"2023/05/24 11:00:00",TAS1,39.748,0.6,SATELLITE,"2023/05/24 11:20:29"
D,ROOFTOP,ACTUAL,2,"2023/05/24 11:00:00",TASN,11.146,0.6,SATELLITE,"2023/05/24 11:20:30"
D,ROOFTOP,ACTUAL,2,"2023/05/24 11:00:00",TASS,28.602,0.6,SATELLITE,"2023/05/24 11:20:30"
D,ROOFTOP,ACTUAL,2,"2023/05/24 11:00:00",VIC1,1230.507,0.6,SATELLITE,"2023/05/24 11:20:30"
C,"END OF REPORT",13
