C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/07/02,15:30:01,0000000390987474,DEMAND,0000000390987473
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/07/02 15:00:00",NSW1,1220.292,0.6,SATELLITE,"2023/07/02 15:20:21"
D,ROOFTOP,ACTUAL,2,"2023/07/02 15:00:00",QLD1,1211.785,0.6,SATELLITE,"2023/07/02 15:20:21"
D,ROOFTOP,ACTUAL,2,"2023/07/02 15:00:00",QLDC,114.356,0.6,SATELLITE,"2023/07/02 15:20:21"
D,ROOFTOP,ACTUAL,2,"2023/07/02 15:00:00",QLDN,248.91,0.6,SATELLITE,"2023/07/02 15:20:21"
D,ROOFTOP,ACTUAL,2,"2023/07/02 15:00:00",QLDS,848.519,0.6,SATELLITE,"2023/07/02 15:20:21"
D,ROOFTOP,ACTUAL,2,"2023/07/02 15:00:00",SA1,336.388,0.6,SATELLITE,"2023/07/02 15:20:21"
D,ROOFTOP,ACTUAL,2,"2023/07/02 15:00:00",TAS1,43.938,0.6,SATELLITE,"2023/07/02 15:20:21"
D,ROOFTOP,ACTUAL,2,"2023/07/02 15:00:00",TASN,25.391,0.6,SATELLITE,"2023/07/02 15:20:21"
D,ROOFTOP,ACTUAL,2,"2023/07/02 15:00:00",TASS,18.548,0.6,SATELLITE,"2023/07/02 15:20:21"
D,ROOFTOP,ACTUAL,2,"2023/07/02 15:00:00",VIC1,522.273,0.6,SATELLITE,"2023/07/02 15:20:21"
C,"END OF REPORT",13
