C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/10/26,12:00:02,0000000400660688,DEMAND,0000000400660687
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/10/26 11:30:00",NSW1,2244.829,0.6,SATELLITE,"2023/10/26 11:50:27"
D,ROOFTOP,ACTUAL,2,"2023/10/26 11:30:00",QLD1,3567.252,0.6,SATELLITE,"2023/10/26 11:50:27"
D,ROOFTOP,ACTUAL,2,"2023/10/26 11:30:00",QLDC,412.544,0.6,SATELLITE,"2023/10/26 11:50:27"
D,ROOFTOP,ACTUAL,2,"2023/10/26 11:30:00",QLDN,684.547,0.6,SATELLITE,"2023/10/26 11:50:27"
D,ROOFTOP,ACTUAL,2,"2023/10/26 11:30:00",QLDS,2470.16,0.6,SATELLITE,"2023/10/26 11:50:27"
D,ROOFTOP,ACTUAL,2,"2023/10/26 11:30:00",SA1,1051.185,0.6,SATELLITE,"2023/10/26 11:50:27"
D,ROOFTOP,ACTUAL,2,"2023/10/26 11:30:00",TAS1,161.274,0.6,SATELLITE,"2023/10/26 11:50:27"
D,ROOFTOP,ACTUAL,2,"2023/10/26 11:30:00",TASN,109.538,0.6,SATELLITE,"2023/10/26 11:50:27"
D,ROOFTOP,ACTUAL,2,"2023/10/26 11:30:00",TASS,51.737,0.6,SATELLITE,"2023/10/26 11:50:27"
D,ROOFTOP,ACTUAL,2,"2023/10/26 11:30:00",VIC1,1966.245,0.6,SATELLITE,"2023/10/26 11:50:27"
C,"END OF REPORT",13
