C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/12/01,19:00:02,0000000404101635,DEMAND,0000000404101635
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/12/01 18:30:00",NSW1,145.315,1,MEASUREMENT,"2023/12/01 18:49:12"
D,ROOFTOP,ACTUAL,2,"2023/12/01 18:30:00",QLD1,14.484,1,MEASUREMENT,"2023/12/01 18:49:12"
D,ROOFTOP,ACTUAL,2,"2023/12/01 18:30:00",QLDC,1.075,1,MEASUREMENT,"2023/12/01 18:49:12"
D,ROOFTOP,ACTUAL,2,"2023/12/01 18:30:00",QLDN,6.526,1,MEASUREMENT,"2023/12/01 18:49:12"
D,ROOFTOP,ACTUAL,2,"2023/12/01 18:30:00",QLDS,6.883,1,MEASUREMENT,"2023/12/01 18:49:12"
D,ROOFTOP,ACTUAL,2,"2023/12/01 18:30:00",SA1,302.052,1,MEASUREMENT,"2023/12/01 18:49:12"
D,ROOFTOP,ACTUAL,2,"2023/12/01 18:30:00",TAS1,19.706,1,MEASUREMENT,"2023/12/01 18:49:12"
D,ROOFTOP,ACTUAL,2,"2023/12/01 18:30:00",TASN,9.347,1,MEASUREMENT,"2023/12/01 18:49:12"
D,ROOFTOP,ACTUAL,2,"2023/12/01 18:30:00",TASS,10.349,1,MEASUREMENT,"2023/12/01 18:49:12"
D,ROOFTOP,ACTUAL,2,"2023/12/01 18:30:00",VIC1,141.674,1,MEASUREMENT,"2023/12/01 18:49:12"
C,"END OF REPORT",13
