C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/03/02,16:00:02,0000000381899268,DEMAND,0000000381899267
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/03/02 15:30:00",NSW1,2229.304,0.6,SATELLITE,"2023/03/02 15:50:20"
D,ROOFTOP,ACTUAL,2,"2023/03/02 15:30:00",QLD1,1474.644,0.6,SATELLITE,"2023/03/02 15:50:20"
D,ROOFTOP,ACTUAL,2,"2023/03/02 15:30:00",QLDC,181.55,0.6,SATELLITE,"2023/03/02 15:50:21"
D,ROOFTOP,ACTUAL,2,"2023/03/02 15:30:00",QLDN,416.126,0.6,SATELLITE,"2023/03/02 15:50:21"
D,ROOFTOP,ACTUAL,2,"2023/03/02 15:30:00",QLDS,876.968,0.6,SATELLITE,"2023/03/02 15:50:21"
D,ROOFTOP,ACTUAL,2,"2023/03/02 15:30:00",SA1,929.103,0.6,SATELLITE,"2023/03/02 15:50:21"
D,ROOFTOP,ACTUAL,2,"2023/03/02 15:30:00",TAS1,99.629,0.6,SATELLITE,"2023/03/02 15:50:21"
D,ROOFTOP,ACTUAL,2,"2023/03/02 15:30:00",TASN,64.355,0.6,SATELLITE,"2023/03/02 15:50:21"
D,ROOFTOP,ACTUAL,2,"2023/03/02 15:30:00",TASS,35.273,0.6,SATELLITE,"2023/03/02 15:50:21"
D,ROOFTOP,ACTUAL,2,"2023/03/02 15:30:00",VIC1,1189.442,0.6,SATELLITE,"2023/03/02 15:50:21"
C,"END OF REPORT",13
