C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/09/18,09:30:02,0000000397473669,DEMAND,0000000397473669
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/09/18 09:00:00",NSW1,2436.271,0.7,MEASUREMENT,"2023/09/18 09:19:13"
D,ROOFTOP,ACTUAL,2,"2023/09/18 09:00:00",QLD1,2311.485,1,MEASUREMENT,"2023/09/18 09:19:13"
D,ROOFTOP,ACTUAL,2,"2023/09/18 09:00:00",QLDC,229.462,1,MEASUREMENT,"2023/09/18 09:19:13"
D,ROOFTOP,ACTUAL,2,"2023/09/18 09:00:00",QLDN,274.69,1,MEASUREMENT,"2023/09/18 09:19:13"
D,ROOFTOP,ACTUAL,2,"2023/09/18 09:00:00",QLDS,1807.333,1,MEASUREMENT,"2023/09/18 09:19:13"
D,ROOFTOP,ACTUAL,2,"2023/09/18 09:00:00",SA1,540.508,0.7,MEASUREMENT,"2023/09/18 09:19:13"
D,ROOFTOP,ACTUAL,2,"2023/09/18 09:00:00",TAS1,96.224,1,MEASUREMENT,"2023/09/18 09:19:13"
D,ROOFTOP,ACTUAL,2,"2023/09/18 09:00:00",TASN,48.442,1,MEASUREMENT,"2023/09/18 09:19:13"
D,ROOFTOP,ACTUAL,2,"2023/09/18 09:00:00",TASS,47.757,1,MEASUREMENT,"2023/09/18 09:19:13"
D,ROOFTOP,ACTUAL,2,"2023/09/18 09:00:00",VIC1,540.995,1,MEASUREMENT,"2023/09/18 09:19:13"
C,"END OF REPORT",13
