C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/08/27,08:00:02,0000000395632190,DEMAND,0000000395632189
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/08/27 07:30:00",NSW1,627.255,0.6,SATELLITE,"2023/08/27 07:50:26"
D,ROOFTOP,ACTUAL,2,"2023/08/27 07:30:00",QLD1,775.225,0.6,SATELLITE,"2023/08/27 07:50:26"
D,ROOFTOP,ACTUAL,2,"2023/08/27 07:30:00",QLDC,77.794,0.6,SATELLITE,"2023/08/27 07:50:26"
D,ROOFTOP,ACTUAL,2,"2023/08/27 07:30:00",QLDN,82.786,0.6,SATELLITE,"2023/08/27 07:50:26"
D,ROOFTOP,ACTUAL,2,"2023/08/27 07:30:00",QLDS,614.646,0.6,SATELLITE,"2023/08/27 07:50:26"
D,ROOFTOP,ACTUAL,2,"2023/08/27 07:30:00",SA1,14.089,0.6,SATELLITE,"2023/08/27 07:50:26"
D,ROOFTOP,ACTUAL,2,"2023/08/27 07:30:00",TAS1,11.579,0.6,SATELLITE,"2023/08/27 07:50:26"
D,ROOFTOP,ACTUAL,2,"2023/08/27 07:30:00",TASN,6.019,0.6,SATELLITE,"2023/08/27 07:50:26"
D,ROOFTOP,ACTUAL,2,"2023/08/27 07:30:00",TASS,5.56,0.6,SATELLITE,"2023/08/27 07:50:26"
D,ROOFTOP,ACTUAL,2,"2023/08/27 07:30:00",VIC1,64.981,0.6,SATELLITE,"2023/08/27 07:50:26"
C,"END OF REPORT",13
