C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/05/04,09:30:03,0000000386378599,DEMAND,0000000386378598
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/05/04 09:00:00",NSW1,1614.114,0.6,SATELLITE,"2023/05/04 09:20:23"
D,ROOFTOP,ACTUAL,2,"2023/05/04 09:00:00",QLD1,1799.784,0.6,SATELLITE,"2023/05/04 09:20:23"
D,ROOFTOP,ACTUAL,2,"2023/05/04 09:00:00",QLDC,180.558,0.6,SATELLITE,"2023/05/04 09:20:23"
D,ROOFTOP,ACTUAL,2,"2023/05/04 09:00:00",QLDN,223.932,0.6,SATELLITE,"2023/05/04 09:20:23"
D,ROOFTOP,ACTUAL,2,"2023/05/04 09:00:00",QLDS,1395.294,0.6,SATELLITE,"2023/05/04 09:20:23"
D,ROOFTOP,ACTUAL,2,"2023/05/04 09:00:00",SA1,204.53,0.6,SATELLITE,"2023/05/04 09:20:23"
D,ROOFTOP,ACTUAL,2,"2023/05/04 09:00:00",TAS1,48.519,0.6,SATELLITE,"2023/05/04 09:20:23"
D,ROOFTOP,ACTUAL,2,"2023/05/04 09:00:00",TASN,27.237,0.6,SATELLITE,"2023/05/04 09:20:23"
D,ROOFTOP,ACTUAL,2,"2023/05/04 09:00:00",TASS,21.282,0.6,SATELLITE,"2023/05/04 09:20:23"
D,ROOFTOP,ACTUAL,2,"2023/05/04 09:00:00",VIC1,565.328,0.6,SATELLITE,"2023/05/04 09:20:23"
C,"END OF REPORT",13
