C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/04/08,17:30:03,0000000384473403,DEMAND,0000000384473403
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/04/08 17:00:00",NSW1,436.742,1,MEASUREMENT,"2023/04/08 17:19:33"
D,ROOFTOP,ACTUAL,2,"2023/04/08 17:00:00",QLD1,517.835,1,MEASUREMENT,"2023/04/08 17:19:33"
D,ROOFTOP,ACTUAL,2,"2023/04/08 17:00:00",QLDC,47.466,1,MEASUREMENT,"2023/04/08 17:19:33"
D,ROOFTOP,ACTUAL,2,"2023/04/08 17:00:00",QLDN,139.829,1,MEASUREMENT,"2023/04/08 17:19:33"
D,ROOFTOP,ACTUAL,2,"2023/04/08 17:00:00",QLDS,330.541,1,MEASUREMENT,"2023/04/08 17:19:33"
D,ROOFTOP,ACTUAL,2,"2023/04/08 17:00:00",SA1,317.876,1,MEASUREMENT,"2023/04/08 17:19:33"
D,ROOFTOP,ACTUAL,2,"2023/04/08 17:00:00",TAS1,25.319,1,MEASUREMENT,"2023/04/08 17:19:33"
D,ROOFTOP,ACTUAL,2,"2023/04/08 17:00:00",TASN,13.558,1,MEASUREMENT,"2023/04/08 17:19:33"
D,ROOFTOP,ACTUAL,2,"2023/04/08 17:00:00",TASS,11.764,1,MEASUREMENT,"2023/04/08 17:19:33"
D,ROOFTOP,ACTUAL,2,"2023/04/08 17:00:00",VIC1,337.055,1,MEASUREMENT,"2023/04/08 17:19:33"
C,"END OF REPORT",13
