C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/10/24,17:30:02,0000000400497120,DEMAND,0000000400497120
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/10/24 17:00:00",NSW1,908.918,1,MEASUREMENT,"2023/10/24 17:19:06"
D,ROOFTOP,ACTUAL,2,"2023/10/24 17:00:00",QLD1,620.689,1,MEASUREMENT,"2023/10/24 17:19:06"
D,ROOFTOP,ACTUAL,2,"2023/10/24 17:00:00",QLDC,67.042,1,MEASUREMENT,"2023/10/24 17:19:06"
D,ROOFTOP,ACTUAL,2,"2023/10/24 17:00:00",QLDN,163.825,1,MEASUREMENT,"2023/10/24 17:19:06"
D,ROOFTOP,ACTUAL,2,"2023/10/24 17:00:00",QLDS,389.822,1,MEASUREMENT,"2023/10/24 17:19:06"
D,ROOFTOP,ACTUAL,2,"2023/10/24 17:00:00",SA1,667.967,1,MEASUREMENT,"2023/10/24 17:19:06"
D,ROOFTOP,ACTUAL,2,"2023/10/24 17:00:00",TAS1,47.071,1,MEASUREMENT,"2023/10/24 17:19:06"
D,ROOFTOP,ACTUAL,2,"2023/10/24 17:00:00",TASN,19.664,1,MEASUREMENT,"2023/10/24 17:19:06"
D,ROOFTOP,ACTUAL,2,"2023/10/24 17:00:00",TASS,27.35,1,MEASUREMENT,"2023/10/24 17:19:06"
D,ROOFTOP,ACTUAL,2,"2023/10/24 17:00:00",VIC1,848.697,1,MEASUREMENT,"2023/10/24 17:19:06"
C,"END OF REPORT",13
