C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/12/25,14:30:01,0000000406756545,DEMAND,0000000406756545
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/12/25 14:00:00",NSW1,2723.6,1,MEASUREMENT,"2023/12/25 14:19:11"
D,ROOFTOP,ACTUAL,2,"2023/12/25 14:00:00",QLD1,3338.276,1,MEASUREMENT,"2023/12/25 14:19:11"
D,ROOFTOP,ACTUAL,2,"2023/12/25 14:00:00",QLDC,225.027,1,MEASUREMENT,"2023/12/25 14:19:11"
D,ROOFTOP,ACTUAL,2,"2023/12/25 14:00:00",QLDN,366.053,1,MEASUREMENT,"2023/12/25 14:19:11"
D,ROOFTOP,ACTUAL,2,"2023/12/25 14:00:00",QLDS,2747.196,1,MEASUREMENT,"2023/12/25 14:19:11"
D,ROOFTOP,ACTUAL,2,"2023/12/25 14:00:00",SA1,643.229,1,MEASUREMENT,"2023/12/25 14:19:11"
D,ROOFTOP,ACTUAL,2,"2023/12/25 14:00:00",TAS1,196.049,1,MEASUREMENT,"2023/12/25 14:19:11"
D,ROOFTOP,ACTUAL,2,"2023/12/25 14:00:00",TASN,95.302,1,MEASUREMENT,"2023/12/25 14:19:11"
D,ROOFTOP,ACTUAL,2,"2023/12/25 14:00:00",TASS,100.654,1,MEASUREMENT,"2023/12/25 14:19:11"
D,ROOFTOP,ACTUAL,2,"2023/12/25 14:00:00",VIC1,817.368,1,MEASUREMENT,"2023/12/25 14:19:11"
C,"END OF REPORT",13
