C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/03/01,11:00:02,0000000381814866,DEMAND,0000000381814865
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/03/01 10:30:00",NSW1,3167.866,0.6,SATELLITE,"2023/03/01 10:50:22"
D,ROOFTOP,ACTUAL,2,"2023/03/01 10:30:00",QLD1,3496.553,0.6,SATELLITE,"2023/03/01 10:50:22"
D,ROOFTOP,ACTUAL,2,"2023/03/01 10:30:00",QLDC,335.84,0.6,SATELLITE,"2023/03/01 10:50:23"
D,ROOFTOP,ACTUAL,2,"2023/03/01 10:30:00",QLDN,518.627,0.6,SATELLITE,"2023/03/01 10:50:23"
D,ROOFTOP,ACTUAL,2,"2023/03/01 10:30:00",QLDS,2642.087,0.6,SATELLITE,"2023/03/01 10:50:23"
D,ROOFTOP,ACTUAL,2,"2023/03/01 10:30:00",SA1,759.288,0.6,SATELLITE,"2023/03/01 10:50:23"
D,ROOFTOP,ACTUAL,2,"2023/03/01 10:30:00",TAS1,127.717,0.6,SATELLITE,"2023/03/01 10:50:23"
D,ROOFTOP,ACTUAL,2,"2023/03/01 10:30:00",TASN,68.668,0.6,SATELLITE,"2023/03/01 10:50:23"
D,ROOFTOP,ACTUAL,2,"2023/03/01 10:30:00",TASS,59.049,0.6,SATELLITE,"2023/03/01 10:50:23"
D,ROOFTOP,ACTUAL,2,"2023/03/01 10:30:00",VIC1,1324.97,0.6,SATELLITE,"2023/03/01 10:50:23"
C,"END OF REPORT",13
