C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/02/25,19:30:02,0000000381577104,DEMAND,0000000381577103
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/02/25 19:00:00",NSW1,1.324,0.6,SATELLITE,"2023/02/25 19:20:21"
D,ROOFTOP,ACTUAL,2,"2023/02/25 19:00:00",QLD1,0.883,0.6,SATELLITE,"2023/02/25 19:20:21"
D,ROOFTOP,ACTUAL,2,"2023/02/25 19:00:00",QLDC,0,0.6,SATELLITE,"2023/02/25 19:20:21"
D,ROOFTOP,ACTUAL,2,"2023/02/25 19:00:00",QLDN,0.883,0.6,SATELLITE,"2023/02/25 19:20:21"
D,ROOFTOP,ACTUAL,2,"2023/02/25 19:00:00",QLDS,0,0.6,SATELLITE,"2023/02/25 19:20:21"
D,ROOFTOP,ACTUAL,2,"2023/02/25 19:00:00",SA1,101.135,0.6,SATELLITE,"2023/02/25 19:20:21"
D,ROOFTOP,ACTUAL,2,"2023/02/25 19:00:00",TAS1,1.37,0.6,SATELLITE,"2023/02/25 19:20:21"
D,ROOFTOP,ACTUAL,2,"2023/02/25 19:00:00",TASN,0.742,0.6,SATELLITE,"2023/02/25 19:20:21"
D,ROOFTOP,ACTUAL,2,"2023/02/25 19:00:00",TASS,0.628,0.6,SATELLITE,"2023/02/25 19:20:21"
D,ROOFTOP,ACTUAL,2,"2023/02/25 19:00:00",VIC1,33.253,0.6,SATELLITE,"2023/02/25 19:20:21"
C,"END OF REPORT",13
