C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/03/19,08:00:02,0000000414099765,DEMAND,0000000414099764
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/03/19 07:30:00",NSW1,920.664,0.6,SATELLITE,"2024/03/19 07:50:24"
D,ROOFTOP,ACTUAL,2,"2024/03/19 07:30:00",QLD1,923.406,0.6,SATELLITE,"2024/03/19 07:50:24"
D,ROOFTOP,ACTUAL,2,"2024/03/19 07:30:00",QLDC,101.248,0.6,SATELLITE,"2024/03/19 07:50:24"
D,ROOFTOP,ACTUAL,2,"2024/03/19 07:30:00",QLDN,83.401,0.6,SATELLITE,"2024/03/19 07:50:24"
D,ROOFTOP,ACTUAL,2,"2024/03/19 07:30:00",QLDS,738.757,0.6,SATELLITE,"2024/03/19 07:50:25"
D,ROOFTOP,ACTUAL,2,"2024/03/19 07:30:00",SA1,79.491,0.6,SATELLITE,"2024/03/19 07:50:25"
D,ROOFTOP,ACTUAL,2,"2024/03/19 07:30:00",TAS1,26.353,0.6,SATELLITE,"2024/03/19 07:50:25"
D,ROOFTOP,ACTUAL,2,"2024/03/19 07:30:00",TASN,10.527,0.6,SATELLITE,"2024/03/19 07:50:25"
D,ROOFTOP,ACTUAL,2,"2024/03/19 07:30:00",TASS,15.826,0.6,SATELLITE,"2024/03/19 07:50:25"
D,ROOFTOP,ACTUAL,2,"2024/03/19 07:30:00",VIC1,422.193,0.6,SATELLITE,"2024/03/19 07:50:25"
C,"END OF REPORT",13
