C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/01/06,06:00:02,0000000407707432,DEMAND,0000000407707431
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/01/06 05:30:00",NSW1,152.629,0.6,SATELLITE,"2024/01/06 05:50:28"
D,ROOFTOP,ACTUAL,2,"2024/01/06 05:30:00",QLD1,69.254,0.6,SATELLITE,"2024/01/06 05:50:28"
D,ROOFTOP,ACTUAL,2,"2024/01/06 05:30:00",QLDC,2.365,0.6,SATELLITE,"2024/01/06 05:50:28"
D,ROOFTOP,ACTUAL,2,"2024/01/06 05:30:00",QLDN,0.15,0.6,SATELLITE,"2024/01/06 05:50:28"
D,ROOFTOP,ACTUAL,2,"2024/01/06 05:30:00",QLDS,66.739,0.6,SATELLITE,"2024/01/06 05:50:29"
D,ROOFTOP,ACTUAL,2,"2024/01/06 05:30:00",SA1,0.079,0.6,SATELLITE,"2024/01/06 05:50:29"
D,ROOFTOP,ACTUAL,2,"2024/01/06 05:30:00",TAS1,12.099,0.6,SATELLITE,"2024/01/06 05:50:29"
D,ROOFTOP,ACTUAL,2,"2024/01/06 05:30:00",TASN,5.641,0.6,SATELLITE,"2024/01/06 05:50:29"
D,ROOFTOP,ACTUAL,2,"2024/01/06 05:30:00",TASS,6.458,0.6,SATELLITE,"2024/01/06 05:50:29"
D,ROOFTOP,ACTUAL,2,"2024/01/06 05:30:00",VIC1,64.396,0.6,SATELLITE,"2024/01/06 05:50:29"
C,"END OF REPORT",13
