C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/10/21,07:00:02,0000000400181997,DEMAND,0000000400181997
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/10/21 06:30:00",NSW1,510.93,1,MEASUREMENT,"2023/10/21 06:49:14"
D,ROOFTOP,ACTUAL,2,"2023/10/21 06:30:00",QLD1,575.907,1,MEASUREMENT,"2023/10/21 06:49:14"
D,ROOFTOP,ACTUAL,2,"2023/10/21 06:30:00",QLDC,56.776,1,MEASUREMENT,"2023/10/21 06:49:14"
D,ROOFTOP,ACTUAL,2,"2023/10/21 06:30:00",QLDN,44.539,1,MEASUREMENT,"2023/10/21 06:49:14"
D,ROOFTOP,ACTUAL,2,"2023/10/21 06:30:00",QLDS,474.592,1,MEASUREMENT,"2023/10/21 06:49:14"
D,ROOFTOP,ACTUAL,2,"2023/10/21 06:30:00",SA1,11.58,1,MEASUREMENT,"2023/10/21 06:49:14"
D,ROOFTOP,ACTUAL,2,"2023/10/21 06:30:00",TAS1,4.023,1,MEASUREMENT,"2023/10/21 06:49:14"
D,ROOFTOP,ACTUAL,2,"2023/10/21 06:30:00",TASN,3.264,1,MEASUREMENT,"2023/10/21 06:49:14"
D,ROOFTOP,ACTUAL,2,"2023/10/21 06:30:00",TASS,0.772,1,MEASUREMENT,"2023/10/21 06:49:14"
D,ROOFTOP,ACTUAL,2,"2023/10/21 06:30:00",VIC1,49.937,1,MEASUREMENT,"2023/10/21 06:49:15"
C,"END OF REPORT",13
