C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/04/11,13:30:03,0000000384661959,DEMAND,0000000384661958
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/04/11 13:00:00",NSW1,2688.057,0.6,SATELLITE,"2023/04/11 13:20:31"
D,ROOFTOP,ACTUAL,2,"2023/04/11 13:00:00",QLD1,3155.556,0.6,SATELLITE,"2023/04/11 13:20:31"
D,ROOFTOP,ACTUAL,2,"2023/04/11 13:00:00",QLDC,309.447,0.6,SATELLITE,"2023/04/11 13:20:31"
D,ROOFTOP,ACTUAL,2,"2023/04/11 13:00:00",QLDN,500.938,0.6,SATELLITE,"2023/04/11 13:20:31"
D,ROOFTOP,ACTUAL,2,"2023/04/11 13:00:00",QLDS,2345.171,0.6,SATELLITE,"2023/04/11 13:20:31"
D,ROOFTOP,ACTUAL,2,"2023/04/11 13:00:00",SA1,195.782,0.6,SATELLITE,"2023/04/11 13:20:31"
D,ROOFTOP,ACTUAL,2,"2023/04/11 13:00:00",TAS1,79.35,0.6,SATELLITE,"2023/04/11 13:20:31"
D,ROOFTOP,ACTUAL,2,"2023/04/11 13:00:00",TASN,55.883,0.6,SATELLITE,"2023/04/11 13:20:31"
D,ROOFTOP,ACTUAL,2,"2023/04/11 13:00:00",TASS,23.466,0.6,SATELLITE,"2023/04/11 13:20:31"
D,ROOFTOP,ACTUAL,2,"2023/04/11 13:00:00",VIC1,1807.143,0.6,SATELLITE,"2023/04/11 13:20:31"
C,"END OF REPORT",13
