C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2024/03/02,14:00:02,0000000412600001,DEMAND,0000000412600001
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/03/02 13:30:00",NSW1,1583.281,1,MEASUREMENT,"2024/03/02 13:49:14"
D,ROOFTOP,ACTUAL,2,"2024/03/02 13:30:00",QLD1,3729.509,1,MEASUREMENT,"2024/03/02 13:49:14"
D,ROOFTOP,ACTUAL,2,"2024/03/02 13:30:00",QLDC,249.513,1,MEASUREMENT,"2024/03/02 13:49:14"
D,ROOFTOP,ACTUAL,2,"2024/03/02 13:30:00",QLDN,568.034,1,MEASUREMENT,"2024/03/02 13:49:15"
D,ROOFTOP,ACTUAL,2,"2024/03/02 13:30:00",QLDS,2911.963,1,MEASUREMENT,"2024/03/02 13:49:15"
D,ROOFTOP,ACTUAL,2,"2024/03/02 13:30:00",SA1,1447.011,1,MEASUREMENT,"2024/03/02 13:49:15"
D,ROOFTOP,ACTUAL,2,"2024/03/02 13:30:00",TAS1,172.599,1,MEASUREMENT,"2024/03/02 13:49:15"
D,ROOFTOP,ACTUAL,2,"2024/03/02 13:30:00",TASN,114.168,1,MEASUREMENT,"2024/03/02 13:49:15"
D,ROOFTOP,ACTUAL,2,"2024/03/02 13:30:00",TASS,58.73,1,MEASUREMENT,"2024/03/02 13:49:15"
D,ROOFTOP,ACTUAL,2,"2024/03/02 13:30:00",VIC1,2414.561,1,MEASUREMENT,"2024/03/02 13:49:15"
C,"END OF REPORT",13
