C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/05/09,07:30:03,0000000386750100,DEMAND,0000000386750099
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/05/09 07:00:00",NSW1,111.371,0.6,SATELLITE,"2023/05/09 07:20:23"
D,ROOFTOP,ACTUAL,2,"2023/05/09 07:00:00",QLD1,256.146,0.6,SATELLITE,"2023/05/09 07:20:23"
D,ROOFTOP,ACTUAL,2,"2023/05/09 07:00:00",QLDC,26.935,0.6,SATELLITE,"2023/05/09 07:20:23"
D,ROOFTOP,ACTUAL,2,"2023/05/09 07:00:00",QLDN,17.936,0.6,SATELLITE,"2023/05/09 07:20:23"
D,ROOFTOP,ACTUAL,2,"2023/05/09 07:00:00",QLDS,211.276,0.6,SATELLITE,"2023/05/09 07:20:23"
D,ROOFTOP,ACTUAL,2,"2023/05/09 07:00:00",SA1,0,0.6,SATELLITE,"2023/05/09 07:20:23"
D,ROOFTOP,ACTUAL,2,"2023/05/09 07:00:00",TAS1,0,0.6,SATELLITE,"2023/05/09 07:20:23"
D,ROOFTOP,ACTUAL,2,"2023/05/09 07:00:00",TASN,0,0.6,SATELLITE,"2023/05/09 07:20:23"
D,ROOFTOP,ACTUAL,2,"2023/05/09 07:00:00",TASS,0,0.6,SATELLITE,"2023/05/09 07:20:23"
D,ROOFTOP,ACTUAL,2,"2023/05/09 07:00:00",VIC1,1.217,0.6,SATELLITE,"2023/05/09 07:20:23"
C,"END OF REPORT",13
