C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/03/13,17:00:02,0000000413599628,DEMAND,0000000413599627
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/03/13 16:30:00",NSW1,1359.03,0.6,SATELLITE,"2024/03/13 16:50:28"
D,ROOFTOP,ACTUAL,2,"2024/03/13 16:30:00",QLD1,1367.766,0.6,SATELLITE,"2024/03/13 16:50:28"
D,ROOFTOP,ACTUAL,2,"2024/03/13 16:30:00",QLDC,80.371,0.6,SATELLITE,"2024/03/13 16:50:28"
D,ROOFTOP,ACTUAL,2,"2024/03/13 16:30:00",QLDN,284.894,0.6,SATELLITE,"2024/03/13 16:50:28"
D,ROOFTOP,ACTUAL,2,"2024/03/13 16:30:00",QLDS,1002.501,0.6,SATELLITE,"2024/03/13 16:50:28"
D,ROOFTOP,ACTUAL,2,"2024/03/13 16:30:00",SA1,484.781,0.6,SATELLITE,"2024/03/13 16:50:28"
D,ROOFTOP,ACTUAL,2,"2024/03/13 16:30:00",TAS1,80.308,0.6,SATELLITE,"2024/03/13 16:50:28"
D,ROOFTOP,ACTUAL,2,"2024/03/13 16:30:00",TASN,43.606,0.6,SATELLITE,"2024/03/13 16:50:28"
D,ROOFTOP,ACTUAL,2,"2024/03/13 16:30:00",TASS,36.702,0.6,SATELLITE,"2024/03/13 16:50:28"
D,ROOFTOP,ACTUAL,2,"2024/03/13 16:30:00",VIC1,813.087,0.6,SATELLITE,"2024/03/13 16:50:28"
C,"END OF REPORT",13
