C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/05/26,18:00:03,0000000388097598,DEMAND,0000000388097598
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/05/26 17:30:00",NSW1,0.195,1,MEASUREMENT,"2023/05/26 17:49:19"
D,ROOFTOP,ACTUAL,2,"2023/05/26 17:30:00",QLD1,21.331,1,MEASUREMENT,"2023/05/26 17:49:19"
D,ROOFTOP,ACTUAL,2,"2023/05/26 17:30:00",QLDC,0.391,1,MEASUREMENT,"2023/05/26 17:49:19"
D,ROOFTOP,ACTUAL,2,"2023/05/26 17:30:00",QLDN,20.84,1,MEASUREMENT,"2023/05/26 17:49:19"
D,ROOFTOP,ACTUAL,2,"2023/05/26 17:30:00",QLDS,0.099,1,MEASUREMENT,"2023/05/26 17:49:19"
D,ROOFTOP,ACTUAL,2,"2023/05/26 17:30:00",SA1,43.81,1,MEASUREMENT,"2023/05/26 17:49:19"
D,ROOFTOP,ACTUAL,2,"2023/05/26 17:30:00",TAS1,0,1,MEASUREMENT,"2023/05/26 17:49:19"
D,ROOFTOP,ACTUAL,2,"2023/05/26 17:30:00",TASN,0,1,MEASUREMENT,"2023/05/26 17:49:19"
D,ROOFTOP,ACTUAL,2,"2023/05/26 17:30:00",TASS,0,1,MEASUREMENT,"2023/05/26 17:49:19"
D,ROOFTOP,ACTUAL,2,"2023/05/26 17:30:00",VIC1,1.845,1,MEASUREMENT,"2023/05/26 17:49:19"
C,"END OF REPORT",13
