C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/12/21,13:30:01,0000000406418464,DEMAND,0000000406418464
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/12/21 13:00:00",NSW1,2518.606,1,MEASUREMENT,"2023/12/21 13:19:15"
D,ROOFTOP,ACTUAL,2,"2023/12/21 13:00:00",QLD1,1874.12,1,MEASUREMENT,"2023/12/21 13:19:15"
D,ROOFTOP,ACTUAL,2,"2023/12/21 13:00:00",QLDC,194.789,1,MEASUREMENT,"2023/12/21 13:19:15"
D,ROOFTOP,ACTUAL,2,"2023/12/21 13:00:00",QLDN,558.11,1,MEASUREMENT,"2023/12/21 13:19:15"
D,ROOFTOP,ACTUAL,2,"2023/12/21 13:00:00",QLDS,1121.22,1,MEASUREMENT,"2023/12/21 13:19:15"
D,ROOFTOP,ACTUAL,2,"2023/12/21 13:00:00",SA1,1560.178,1,MEASUREMENT,"2023/12/21 13:19:15"
D,ROOFTOP,ACTUAL,2,"2023/12/21 13:00:00",TAS1,159.924,1,MEASUREMENT,"2023/12/21 13:19:15"
D,ROOFTOP,ACTUAL,2,"2023/12/21 13:00:00",TASN,98.111,1,MEASUREMENT,"2023/12/21 13:19:15"
D,ROOFTOP,ACTUAL,2,"2023/12/21 13:00:00",TASS,61.998,1,MEASUREMENT,"2023/12/21 13:19:15"
D,ROOFTOP,ACTUAL,2,"2023/12/21 13:00:00",VIC1,2624.08,1,MEASUREMENT,"2023/12/21 13:19:15"
C,"END OF REPORT",13
