C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/03/18,17:30:02,0000000383036866,DEMAND,0000000383036865
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/03/18 17:00:00",NSW1,893.811,0.6,SATELLITE,"2023/03/18 17:20:25"
D,ROOFTOP,ACTUAL,2,"2023/03/18 17:00:00",QLD1,723.566,0.6,SATELLITE,"2023/03/18 17:20:25"
D,ROOFTOP,ACTUAL,2,"2023/03/18 17:00:00",QLDC,79.105,0.6,SATELLITE,"2023/03/18 17:20:25"
D,ROOFTOP,ACTUAL,2,"2023/03/18 17:00:00",QLDN,118.566,0.6,SATELLITE,"2023/03/18 17:20:25"
D,ROOFTOP,ACTUAL,2,"2023/03/18 17:00:00",QLDS,525.895,0.6,SATELLITE,"2023/03/18 17:20:25"
D,ROOFTOP,ACTUAL,2,"2023/03/18 17:00:00",SA1,602.073,0.6,SATELLITE,"2023/03/18 17:20:25"
D,ROOFTOP,ACTUAL,2,"2023/03/18 17:00:00",TAS1,36.193,0.6,SATELLITE,"2023/03/18 17:20:25"
D,ROOFTOP,ACTUAL,2,"2023/03/18 17:00:00",TASN,25.806,0.6,SATELLITE,"2023/03/18 17:20:26"
D,ROOFTOP,ACTUAL,2,"2023/03/18 17:00:00",TASS,10.387,0.6,SATELLITE,"2023/03/18 17:20:26"
D,ROOFTOP,ACTUAL,2,"2023/03/18 17:00:00",VIC1,531.932,0.6,SATELLITE,"2023/03/18 17:20:26"
C,"END OF REPORT",13
