C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/04/07,08:30:03,0000000384381628,DEMAND,0000000384381628
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/04/07 08:00:00",NSW1,687.195,1,MEASUREMENT,"2023/04/07 08:19:32"
D,ROOFTOP,ACTUAL,2,"2023/04/07 08:00:00",QLD1,315.537,1,MEASUREMENT,"2023/04/07 08:19:32"
D,ROOFTOP,ACTUAL,2,"2023/04/07 08:00:00",QLDC,27.43,1,MEASUREMENT,"2023/04/07 08:19:32"
D,ROOFTOP,ACTUAL,2,"2023/04/07 08:00:00",QLDN,112.598,1,MEASUREMENT,"2023/04/07 08:19:32"
D,ROOFTOP,ACTUAL,2,"2023/04/07 08:00:00",QLDS,175.509,1,MEASUREMENT,"2023/04/07 08:19:32"
D,ROOFTOP,ACTUAL,2,"2023/04/07 08:00:00",SA1,72.637,1,MEASUREMENT,"2023/04/07 08:19:32"
D,ROOFTOP,ACTUAL,2,"2023/04/07 08:00:00",TAS1,3.589,1,MEASUREMENT,"2023/04/07 08:19:32"
D,ROOFTOP,ACTUAL,2,"2023/04/07 08:00:00",TASN,0.614,1,MEASUREMENT,"2023/04/07 08:19:32"
D,ROOFTOP,ACTUAL,2,"2023/04/07 08:00:00",TASS,2.961,1,MEASUREMENT,"2023/04/07 08:19:32"
D,ROOFTOP,ACTUAL,2,"2023/04/07 08:00:00",VIC1,134.154,1,MEASUREMENT,"2023/04/07 08:19:32"
C,"END OF REPORT",13
