C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2024/01/04,11:30:02,0000000407563593,DEMAND,0000000407563593
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/01/04 11:00:00",NSW1,3137.158,1,MEASUREMENT,"2024/01/04 11:19:09"
D,ROOFTOP,ACTUAL,2,"2024/01/04 11:00:00",QLD1,3137.084,1,MEASUREMENT,"2024/01/04 11:19:09"
D,ROOFTOP,ACTUAL,2,"2024/01/04 11:00:00",QLDC,231.791,1,MEASUREMENT,"2024/01/04 11:19:09"
D,ROOFTOP,ACTUAL,2,"2024/01/04 11:00:00",QLDN,561.366,1,MEASUREMENT,"2024/01/04 11:19:09"
D,ROOFTOP,ACTUAL,2,"2024/01/04 11:00:00",QLDS,2343.927,1,MEASUREMENT,"2024/01/04 11:19:09"
D,ROOFTOP,ACTUAL,2,"2024/01/04 11:00:00",SA1,591.659,1,MEASUREMENT,"2024/01/04 11:19:09"
D,ROOFTOP,ACTUAL,2,"2024/01/04 11:00:00",TAS1,148.814,1,MEASUREMENT,"2024/01/04 11:19:09"
D,ROOFTOP,ACTUAL,2,"2024/01/04 11:00:00",TASN,103.535,1,MEASUREMENT,"2024/01/04 11:19:09"
D,ROOFTOP,ACTUAL,2,"2024/01/04 11:00:00",TASS,45.608,1,MEASUREMENT,"2024/01/04 11:19:09"
D,ROOFTOP,ACTUAL,2,"2024/01/04 11:00:00",VIC1,1735.218,1,MEASUREMENT,"2024/01/04 11:19:09"
C,"END OF REPORT",13
