C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/01/14,11:30:02,0000000408385487,DEMAND,0000000408385486
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/01/14 11:00:00",NSW1,2489.039,0.6,SATELLITE,"2024/01/14 11:20:22"
D,ROOFTOP,ACTUAL,2,"2024/01/14 11:00:00",QLD1,3881.859,0.6,SATELLITE,"2024/01/14 11:20:22"
D,ROOFTOP,ACTUAL,2,"2024/01/14 11:00:00",QLDC,262.111,0.6,SATELLITE,"2024/01/14 11:20:22"
D,ROOFTOP,ACTUAL,2,"2024/01/14 11:00:00",QLDN,346.495,0.6,SATELLITE,"2024/01/14 11:20:22"
D,ROOFTOP,ACTUAL,2,"2024/01/14 11:00:00",QLDS,3273.252,0.6,SATELLITE,"2024/01/14 11:20:22"
D,ROOFTOP,ACTUAL,2,"2024/01/14 11:00:00",SA1,1514.889,0.6,SATELLITE,"2024/01/14 11:20:22"
D,ROOFTOP,ACTUAL,2,"2024/01/14 11:00:00",TAS1,211.182,0.6,SATELLITE,"2024/01/14 11:20:23"
D,ROOFTOP,ACTUAL,2,"2024/01/14 11:00:00",TASN,116.755,0.6,SATELLITE,"2024/01/14 11:20:23"
D,ROOFTOP,ACTUAL,2,"2024/01/14 11:00:00",TASS,94.427,0.6,SATELLITE,"2024/01/14 11:20:23"
D,ROOFTOP,ACTUAL,2,"2024/01/14 11:00:00",VIC1,3002.716,0.6,SATELLITE,"2024/01/14 11:20:23"
C,"END OF REPORT",13
