C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/04/12,10:00:03,0000000384719773,DEMAND,0000000384719773
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/04/12 09:30:00",NSW1,1604.737,1,MEASUREMENT,"2023/04/12 09:49:27"
D,ROOFTOP,ACTUAL,2,"2023/04/12 09:30:00",QLD1,2476.774,1,MEASUREMENT,"2023/04/12 09:49:27"
D,ROOFTOP,ACTUAL,2,"2023/04/12 09:30:00",QLDC,226.414,1,MEASUREMENT,"2023/04/12 09:49:27"
D,ROOFTOP,ACTUAL,2,"2023/04/12 09:30:00",QLDN,361.128,1,MEASUREMENT,"2023/04/12 09:49:27"
D,ROOFTOP,ACTUAL,2,"2023/04/12 09:30:00",QLDS,1889.233,1,MEASUREMENT,"2023/04/12 09:49:27"
D,ROOFTOP,ACTUAL,2,"2023/04/12 09:30:00",SA1,480.538,1,MEASUREMENT,"2023/04/12 09:49:27"
D,ROOFTOP,ACTUAL,2,"2023/04/12 09:30:00",TAS1,63.857,1,MEASUREMENT,"2023/04/12 09:49:27"
D,ROOFTOP,ACTUAL,2,"2023/04/12 09:30:00",TASN,40.121,1,MEASUREMENT,"2023/04/12 09:49:27"
D,ROOFTOP,ACTUAL,2,"2023/04/12 09:30:00",TASS,23.807,1,MEASUREMENT,"2023/04/12 09:49:27"
D,ROOFTOP,ACTUAL,2,"2023/04/12 09:30:00",VIC1,317.65,1,MEASUREMENT,"2023/04/12 09:49:27"
C,"END OF REPORT",13
