C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/11/27,15:30:02,0000000403654306,DEMAND,0000000403654306
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/11/27 15:00:00",NSW1,2498.088,1,MEASUREMENT,"2023/11/27 15:19:10"
D,ROOFTOP,ACTUAL,2,"2023/11/27 15:00:00",QLD1,1532.654,1,MEASUREMENT,"2023/11/27 15:19:10"
D,ROOFTOP,ACTUAL,2,"2023/11/27 15:00:00",QLDC,73.404,1,MEASUREMENT,"2023/11/27 15:19:10"
D,ROOFTOP,ACTUAL,2,"2023/11/27 15:00:00",QLDN,398.71,1,MEASUREMENT,"2023/11/27 15:19:10"
D,ROOFTOP,ACTUAL,2,"2023/11/27 15:00:00",QLDS,1060.54,1,MEASUREMENT,"2023/11/27 15:19:10"
D,ROOFTOP,ACTUAL,2,"2023/11/27 15:00:00",SA1,1352.625,1,MEASUREMENT,"2023/11/27 15:19:10"
D,ROOFTOP,ACTUAL,2,"2023/11/27 15:00:00",TAS1,85.059,1,MEASUREMENT,"2023/11/27 15:19:10"
D,ROOFTOP,ACTUAL,2,"2023/11/27 15:00:00",TASN,31.872,1,MEASUREMENT,"2023/11/27 15:19:10"
D,ROOFTOP,ACTUAL,2,"2023/11/27 15:00:00",TASS,53.04,1,MEASUREMENT,"2023/11/27 15:19:10"
D,ROOFTOP,ACTUAL,2,"2023/11/27 15:00:00",VIC1,1710.282,1,MEASUREMENT,"2023/11/27 15:19:10"
C,"END OF REPORT",13
