C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2024/02/01,11:00:01,0000000409943761,DEMAND,0000000409943761
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/02/01 10:30:00",NSW1,3369.579,1,MEASUREMENT,"2024/02/01 10:49:09"
D,ROOFTOP,ACTUAL,2,"2024/02/01 10:30:00",QLD1,2951.986,1,MEASUREMENT,"2024/02/01 10:49:09"
D,ROOFTOP,ACTUAL,2,"2024/02/01 10:30:00",QLDC,220.782,1,MEASUREMENT,"2024/02/01 10:49:10"
D,ROOFTOP,ACTUAL,2,"2024/02/01 10:30:00",QLDN,377.375,1,MEASUREMENT,"2024/02/01 10:49:10"
D,ROOFTOP,ACTUAL,2,"2024/02/01 10:30:00",QLDS,2353.829,1,MEASUREMENT,"2024/02/01 10:49:10"
D,ROOFTOP,ACTUAL,2,"2024/02/01 10:30:00",SA1,1246.982,1,MEASUREMENT,"2024/02/01 10:49:10"
D,ROOFTOP,ACTUAL,2,"2024/02/01 10:30:00",TAS1,155.809,1,MEASUREMENT,"2024/02/01 10:49:10"
D,ROOFTOP,ACTUAL,2,"2024/02/01 10:30:00",TASN,83.595,1,MEASUREMENT,"2024/02/01 10:49:10"
D,ROOFTOP,ACTUAL,2,"2024/02/01 10:30:00",TASS,72.243,1,MEASUREMENT,"2024/02/01 10:49:10"
D,ROOFTOP,ACTUAL,2,"2024/02/01 10:30:00",VIC1,1914.675,1,MEASUREMENT,"2024/02/01 10:49:10"
C,"END OF REPORT",13
