C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/10/04,14:00:01,0000000398809380,DEMAND,0000000398809380
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/10/04 13:30:00",NSW1,1191.276,1,MEASUREMENT,"2023/10/04 13:49:06"
D,ROOFTOP,ACTUAL,2,"2023/10/04 13:30:00",QLD1,2686.391,1,MEASUREMENT,"2023/10/04 13:49:06"
D,ROOFTOP,ACTUAL,2,"2023/10/04 13:30:00",QLDC,245.533,1,MEASUREMENT,"2023/10/04 13:49:06"
D,ROOFTOP,ACTUAL,2,"2023/10/04 13:30:00",QLDN,579.729,1,MEASUREMENT,"2023/10/04 13:49:06"
D,ROOFTOP,ACTUAL,2,"2023/10/04 13:30:00",QLDS,1861.129,1,MEASUREMENT,"2023/10/04 13:49:06"
D,ROOFTOP,ACTUAL,2,"2023/10/04 13:30:00",SA1,1253.746,1,MEASUREMENT,"2023/10/04 13:49:06"
D,ROOFTOP,ACTUAL,2,"2023/10/04 13:30:00",TAS1,52.225,1,MEASUREMENT,"2023/10/04 13:49:06"
D,ROOFTOP,ACTUAL,2,"2023/10/04 13:30:00",TASN,27.106,1,MEASUREMENT,"2023/10/04 13:49:06"
D,ROOFTOP,ACTUAL,2,"2023/10/04 13:30:00",TASS,25.115,1,MEASUREMENT,"2023/10/04 13:49:06"
D,ROOFTOP,ACTUAL,2,"2023/10/04 13:30:00",VIC1,916.007,1,MEASUREMENT,"2023/10/04 13:49:06"
C,"END OF REPORT",13
