C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/04/27,12:30:03,0000000385861450,DEMAND,0000000385861450
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/04/27 12:00:00",NSW1,2870.095,1,MEASUREMENT,"2023/04/27 12:19:17"
D,ROOFTOP,ACTUAL,2,"2023/04/27 12:00:00",QLD1,2338.995,1,MEASUREMENT,"2023/04/27 12:19:17"
D,ROOFTOP,ACTUAL,2,"2023/04/27 12:00:00",QLDC,224.08,1,MEASUREMENT,"2023/04/27 12:19:17"
D,ROOFTOP,ACTUAL,2,"2023/04/27 12:00:00",QLDN,424.418,1,MEASUREMENT,"2023/04/27 12:19:17"
D,ROOFTOP,ACTUAL,2,"2023/04/27 12:00:00",QLDS,1690.497,1,MEASUREMENT,"2023/04/27 12:19:17"
D,ROOFTOP,ACTUAL,2,"2023/04/27 12:00:00",SA1,1144.501,1,MEASUREMENT,"2023/04/27 12:19:17"
D,ROOFTOP,ACTUAL,2,"2023/04/27 12:00:00",TAS1,27.513,1,MEASUREMENT,"2023/04/27 12:19:18"
D,ROOFTOP,ACTUAL,2,"2023/04/27 12:00:00",TASN,9.849,1,MEASUREMENT,"2023/04/27 12:19:18"
D,ROOFTOP,ACTUAL,2,"2023/04/27 12:00:00",TASS,17.612,1,MEASUREMENT,"2023/04/27 12:19:18"
D,ROOFTOP,ACTUAL,2,"2023/04/27 12:00:00",VIC1,666.056,1,MEASUREMENT,"2023/04/27 12:19:18"
C,"END OF REPORT",13
