C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2024/02/20,19:00:02,0000000411629490,DEMAND,0000000411629490
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/02/20 18:30:00",NSW1,140.117,1,MEASUREMENT,"2024/02/20 18:49:19"
D,ROOFTOP,ACTUAL,2,"2024/02/20 18:30:00",QLD1,55.581,1,MEASUREMENT,"2024/02/20 18:49:19"
D,ROOFTOP,ACTUAL,2,"2024/02/20 18:30:00",QLDC,4.918,1,MEASUREMENT,"2024/02/20 18:49:19"
D,ROOFTOP,ACTUAL,2,"2024/02/20 18:30:00",QLDN,23.11,1,MEASUREMENT,"2024/02/20 18:49:19"
D,ROOFTOP,ACTUAL,2,"2024/02/20 18:30:00",QLDS,27.553,1,MEASUREMENT,"2024/02/20 18:49:19"
D,ROOFTOP,ACTUAL,2,"2024/02/20 18:30:00",SA1,264.386,1,MEASUREMENT,"2024/02/20 18:49:19"
D,ROOFTOP,ACTUAL,2,"2024/02/20 18:30:00",TAS1,12.537,1,MEASUREMENT,"2024/02/20 18:49:19"
D,ROOFTOP,ACTUAL,2,"2024/02/20 18:30:00",TASN,5.12,1,MEASUREMENT,"2024/02/20 18:49:19"
D,ROOFTOP,ACTUAL,2,"2024/02/20 18:30:00",TASS,7.399,1,MEASUREMENT,"2024/02/20 18:49:19"
D,ROOFTOP,ACTUAL,2,"2024/02/20 18:30:00",VIC1,199.173,1,MEASUREMENT,"2024/02/20 18:49:19"
C,"END OF REPORT",13
