C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/12/06,07:00:01,0000000404592089,DEMAND,0000000404592088
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/12/06 06:30:00",NSW1,1256.19,0.6,SATELLITE,"2023/12/06 06:50:22"
D,ROOFTOP,ACTUAL,2,"2023/12/06 06:30:00",QLD1,1067.131,0.6,SATELLITE,"2023/12/06 06:50:22"
D,ROOFTOP,ACTUAL,2,"2023/12/06 06:30:00",QLDC,95.681,0.6,SATELLITE,"2023/12/06 06:50:22"
D,ROOFTOP,ACTUAL,2,"2023/12/06 06:30:00",QLDN,84.953,0.6,SATELLITE,"2023/12/06 06:50:22"
D,ROOFTOP,ACTUAL,2,"2023/12/06 06:30:00",QLDS,886.498,0.6,SATELLITE,"2023/12/06 06:50:22"
D,ROOFTOP,ACTUAL,2,"2023/12/06 06:30:00",SA1,109.856,0.6,SATELLITE,"2023/12/06 06:50:22"
D,ROOFTOP,ACTUAL,2,"2023/12/06 06:30:00",TAS1,59.72,0.6,SATELLITE,"2023/12/06 06:50:22"
D,ROOFTOP,ACTUAL,2,"2023/12/06 06:30:00",TASN,32.318,0.6,SATELLITE,"2023/12/06 06:50:22"
D,ROOFTOP,ACTUAL,2,"2023/12/06 06:30:00",TASS,27.402,0.6,SATELLITE,"2023/12/06 06:50:22"
D,ROOFTOP,ACTUAL,2,"2023/12/06 06:30:00",VIC1,665.788,0.6,SATELLITE,"2023/12/06 06:50:22"
C,"END OF REPORT",13
