C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/12/14,15:30:01,0000000405566541,DEMAND,0000000405566540
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/12/14 15:00:00",NSW1,3289.367,0.6,SATELLITE,"2023/12/14 15:20:24"
D,ROOFTOP,ACTUAL,2,"2023/12/14 15:00:00",QLD1,2711.326,0.6,SATELLITE,"2023/12/14 15:20:24"
D,ROOFTOP,ACTUAL,2,"2023/12/14 15:00:00",QLDC,299.167,0.6,SATELLITE,"2023/12/14 15:20:24"
D,ROOFTOP,ACTUAL,2,"2023/12/14 15:00:00",QLDN,118.224,0.6,SATELLITE,"2023/12/14 15:20:24"
D,ROOFTOP,ACTUAL,2,"2023/12/14 15:00:00",QLDS,2293.935,0.6,SATELLITE,"2023/12/14 15:20:24"
D,ROOFTOP,ACTUAL,2,"2023/12/14 15:00:00",SA1,1145.19,0.6,SATELLITE,"2023/12/14 15:20:25"
D,ROOFTOP,ACTUAL,2,"2023/12/14 15:00:00",TAS1,91.92,0.6,SATELLITE,"2023/12/14 15:20:25"
D,ROOFTOP,ACTUAL,2,"2023/12/14 15:00:00",TASN,53.888,0.6,SATELLITE,"2023/12/14 15:20:25"
D,ROOFTOP,ACTUAL,2,"2023/12/14 15:00:00",TASS,38.032,0.6,SATELLITE,"2023/12/14 15:20:25"
D,ROOFTOP,ACTUAL,2,"2023/12/14 15:00:00",VIC1,1390.192,0.6,SATELLITE,"2023/12/14 15:20:25"
C,"END OF REPORT",13
