C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/03/08,17:00:02,0000000382306311,DEMAND,0000000382306310
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/03/08 16:30:00",NSW1,1212.358,0.6,SATELLITE,"2023/03/08 16:50:26"
D,ROOFTOP,ACTUAL,2,"2023/03/08 16:30:00",QLD1,635.998,0.6,SATELLITE,"2023/03/08 16:50:26"
D,ROOFTOP,ACTUAL,2,"2023/03/08 16:30:00",QLDC,95.978,0.6,SATELLITE,"2023/03/08 16:50:26"
D,ROOFTOP,ACTUAL,2,"2023/03/08 16:30:00",QLDN,248.79,0.6,SATELLITE,"2023/03/08 16:50:26"
D,ROOFTOP,ACTUAL,2,"2023/03/08 16:30:00",QLDS,291.23,0.6,SATELLITE,"2023/03/08 16:50:26"
D,ROOFTOP,ACTUAL,2,"2023/03/08 16:30:00",SA1,537.653,0.6,SATELLITE,"2023/03/08 16:50:26"
D,ROOFTOP,ACTUAL,2,"2023/03/08 16:30:00",TAS1,58.837,0.6,SATELLITE,"2023/03/08 16:50:26"
D,ROOFTOP,ACTUAL,2,"2023/03/08 16:30:00",TASN,35.127,0.6,SATELLITE,"2023/03/08 16:50:26"
D,ROOFTOP,ACTUAL,2,"2023/03/08 16:30:00",TASS,23.71,0.6,SATELLITE,"2023/03/08 16:50:26"
D,ROOFTOP,ACTUAL,2,"2023/03/08 16:30:00",VIC1,830.979,0.6,SATELLITE,"2023/03/08 16:50:26"
C,"END OF REPORT",13
