C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/09/20,15:00:02,0000000397662817,DEMAND,0000000397662816
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/09/20 14:30:00",NSW1,2869.723,0.6,SATELLITE,"2023/09/20 14:50:26"
D,ROOFTOP,ACTUAL,2,"2023/09/20 14:30:00",QLD1,2782.391,0.6,SATELLITE,"2023/09/20 14:50:26"
D,ROOFTOP,ACTUAL,2,"2023/09/20 14:30:00",QLDC,269.631,0.6,SATELLITE,"2023/09/20 14:50:26"
D,ROOFTOP,ACTUAL,2,"2023/09/20 14:30:00",QLDN,470.557,0.6,SATELLITE,"2023/09/20 14:50:26"
D,ROOFTOP,ACTUAL,2,"2023/09/20 14:30:00",QLDS,2042.203,0.6,SATELLITE,"2023/09/20 14:50:26"
D,ROOFTOP,ACTUAL,2,"2023/09/20 14:30:00",SA1,841.186,0.6,SATELLITE,"2023/09/20 14:50:26"
D,ROOFTOP,ACTUAL,2,"2023/09/20 14:30:00",TAS1,94.24,0.6,SATELLITE,"2023/09/20 14:50:26"
D,ROOFTOP,ACTUAL,2,"2023/09/20 14:30:00",TASN,53.35,0.6,SATELLITE,"2023/09/20 14:50:26"
D,ROOFTOP,ACTUAL,2,"2023/09/20 14:30:00",TASS,40.889,0.6,SATELLITE,"2023/09/20 14:50:26"
D,ROOFTOP,ACTUAL,2,"2023/09/20 14:30:00",VIC1,365.859,0.6,SATELLITE,"2023/09/20 14:50:26"
C,"END OF REPORT",13
