C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/11/16,15:00:01,0000000402662984,DEMAND,0000000402662983
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/11/16 14:30:00",NSW1,2241.696,0.6,SATELLITE,"2023/11/16 14:50:21"
D,ROOFTOP,ACTUAL,2,"2023/11/16 14:30:00",QLD1,2414.843,0.6,SATELLITE,"2023/11/16 14:50:21"
D,ROOFTOP,ACTUAL,2,"2023/11/16 14:30:00",QLDC,207.244,0.6,SATELLITE,"2023/11/16 14:50:22"
D,ROOFTOP,ACTUAL,2,"2023/11/16 14:30:00",QLDN,572.679,0.6,SATELLITE,"2023/11/16 14:50:22"
D,ROOFTOP,ACTUAL,2,"2023/11/16 14:30:00",QLDS,1634.92,0.6,SATELLITE,"2023/11/16 14:50:22"
D,ROOFTOP,ACTUAL,2,"2023/11/16 14:30:00",SA1,1551.229,0.6,SATELLITE,"2023/11/16 14:50:22"
D,ROOFTOP,ACTUAL,2,"2023/11/16 14:30:00",TAS1,97.505,0.6,SATELLITE,"2023/11/16 14:50:22"
D,ROOFTOP,ACTUAL,2,"2023/11/16 14:30:00",TASN,56.998,0.6,SATELLITE,"2023/11/16 14:50:22"
D,ROOFTOP,ACTUAL,2,"2023/11/16 14:30:00",TASS,40.507,0.6,SATELLITE,"2023/11/16 14:50:22"
D,ROOFTOP,ACTUAL,2,"2023/11/16 14:30:00",VIC1,1946.275,0.6,SATELLITE,"2023/11/16 14:50:22"
C,"END OF REPORT",13
