C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/02/08,06:30:01,0000000410533027,DEMAND,0000000410533026
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/02/08 06:00:00",NSW1,116.223,0.6,SATELLITE,"2024/02/08 06:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/08 06:00:00",QLD1,124.7,0.6,SATELLITE,"2024/02/08 06:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/08 06:00:00",QLDC,10.706,0.6,SATELLITE,"2024/02/08 06:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/08 06:00:00",QLDN,1.743,0.6,SATELLITE,"2024/02/08 06:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/08 06:00:00",QLDS,112.25,0.6,SATELLITE,"2024/02/08 06:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/08 06:00:00",SA1,0.127,0.6,SATELLITE,"2024/02/08 06:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/08 06:00:00",TAS1,8.245,0.6,SATELLITE,"2024/02/08 06:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/08 06:00:00",TASN,4.662,0.6,SATELLITE,"2024/02/08 06:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/08 06:00:00",TASS,3.583,0.6,SATELLITE,"2024/02/08 06:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/08 06:00:00",VIC1,57.781,0.6,SATELLITE,"2024/02/08 06:20:22"
C,"END OF REPORT",13
