C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/04/21,09:30:03,0000000385399455,DEMAND,0000000385399454
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/04/21 09:00:00",NSW1,1536.871,0.6,SATELLITE,"2023/04/21 09:20:26"
D,ROOFTOP,ACTUAL,2,"2023/04/21 09:00:00",QLD1,1785.458,0.6,SATELLITE,"2023/04/21 09:20:26"
D,ROOFTOP,ACTUAL,2,"2023/04/21 09:00:00",QLDC,187.31,0.6,SATELLITE,"2023/04/21 09:20:26"
D,ROOFTOP,ACTUAL,2,"2023/04/21 09:00:00",QLDN,280.859,0.6,SATELLITE,"2023/04/21 09:20:26"
D,ROOFTOP,ACTUAL,2,"2023/04/21 09:00:00",QLDS,1317.288,0.6,SATELLITE,"2023/04/21 09:20:26"
D,ROOFTOP,ACTUAL,2,"2023/04/21 09:00:00",SA1,430.021,0.6,SATELLITE,"2023/04/21 09:20:26"
D,ROOFTOP,ACTUAL,2,"2023/04/21 09:00:00",TAS1,45.282,0.6,SATELLITE,"2023/04/21 09:20:26"
D,ROOFTOP,ACTUAL,2,"2023/04/21 09:00:00",TASN,24.461,0.6,SATELLITE,"2023/04/21 09:20:26"
D,ROOFTOP,ACTUAL,2,"2023/04/21 09:00:00",TASS,20.821,0.6,SATELLITE,"2023/04/21 09:20:26"
D,ROOFTOP,ACTUAL,2,"2023/04/21 09:00:00",VIC1,684.457,0.6,SATELLITE,"2023/04/21 09:20:26"
C,"END OF REPORT",13
