C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2024/01/17,17:00:01,0000000408663051,DEMAND,0000000408663051
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/01/17 16:30:00",NSW1,503.008,1,MEASUREMENT,"2024/01/17 16:49:14"
D,ROOFTOP,ACTUAL,2,"2024/01/17 16:30:00",QLD1,1413.987,1,MEASUREMENT,"2024/01/17 16:49:14"
D,ROOFTOP,ACTUAL,2,"2024/01/17 16:30:00",QLDC,152.121,1,MEASUREMENT,"2024/01/17 16:49:14"
D,ROOFTOP,ACTUAL,2,"2024/01/17 16:30:00",QLDN,210.394,1,MEASUREMENT,"2024/01/17 16:49:14"
D,ROOFTOP,ACTUAL,2,"2024/01/17 16:30:00",QLDS,1051.472,1,MEASUREMENT,"2024/01/17 16:49:14"
D,ROOFTOP,ACTUAL,2,"2024/01/17 16:30:00",SA1,1175.219,1,MEASUREMENT,"2024/01/17 16:49:14"
D,ROOFTOP,ACTUAL,2,"2024/01/17 16:30:00",TAS1,93.182,1,MEASUREMENT,"2024/01/17 16:49:14"
D,ROOFTOP,ACTUAL,2,"2024/01/17 16:30:00",TASN,62.302,1,MEASUREMENT,"2024/01/17 16:49:14"
D,ROOFTOP,ACTUAL,2,"2024/01/17 16:30:00",TASS,31.054,1,MEASUREMENT,"2024/01/17 16:49:14"
D,ROOFTOP,ACTUAL,2,"2024/01/17 16:30:00",VIC1,1556.411,1,MEASUREMENT,"2024/01/17 16:49:14"
C,"END OF REPORT",13
