C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2024/02/13,11:30:01,0000000410989821,DEMAND,0000000410989821
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/02/13 11:00:00",NSW1,4151.736,1,MEASUREMENT,"2024/02/13 11:19:11"
D,ROOFTOP,ACTUAL,2,"2024/02/13 11:00:00",QLD1,2616.77,1,MEASUREMENT,"2024/02/13 11:19:11"
D,ROOFTOP,ACTUAL,2,"2024/02/13 11:00:00",QLDC,240.592,1,MEASUREMENT,"2024/02/13 11:19:11"
D,ROOFTOP,ACTUAL,2,"2024/02/13 11:00:00",QLDN,486.276,1,MEASUREMENT,"2024/02/13 11:19:11"
D,ROOFTOP,ACTUAL,2,"2024/02/13 11:00:00",QLDS,1889.902,1,MEASUREMENT,"2024/02/13 11:19:11"
D,ROOFTOP,ACTUAL,2,"2024/02/13 11:00:00",SA1,1352.286,1,MEASUREMENT,"2024/02/13 11:19:11"
D,ROOFTOP,ACTUAL,2,"2024/02/13 11:00:00",TAS1,179.986,1,MEASUREMENT,"2024/02/13 11:19:11"
D,ROOFTOP,ACTUAL,2,"2024/02/13 11:00:00",TASN,81.383,1,MEASUREMENT,"2024/02/13 11:19:11"
D,ROOFTOP,ACTUAL,2,"2024/02/13 11:00:00",TASS,98.438,1,MEASUREMENT,"2024/02/13 11:19:11"
D,ROOFTOP,ACTUAL,2,"2024/02/13 11:00:00",VIC1,2617.191,1,MEASUREMENT,"2024/02/13 11:19:12"
C,"END OF REPORT",13
