C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/05/09,16:00:03,0000000386780369,DEMAND,0000000386780369
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/05/09 15:30:00",NSW1,1085.581,1,MEASUREMENT,"2023/05/09 15:49:16"
D,ROOFTOP,ACTUAL,2,"2023/05/09 15:30:00",QLD1,1529.752,1,MEASUREMENT,"2023/05/09 15:49:16"
D,ROOFTOP,ACTUAL,2,"2023/05/09 15:30:00",QLDC,137.053,1,MEASUREMENT,"2023/05/09 15:49:16"
D,ROOFTOP,ACTUAL,2,"2023/05/09 15:30:00",QLDN,339.766,1,MEASUREMENT,"2023/05/09 15:49:16"
D,ROOFTOP,ACTUAL,2,"2023/05/09 15:30:00",QLDS,1052.933,1,MEASUREMENT,"2023/05/09 15:49:16"
D,ROOFTOP,ACTUAL,2,"2023/05/09 15:30:00",SA1,309.937,1,MEASUREMENT,"2023/05/09 15:49:16"
D,ROOFTOP,ACTUAL,2,"2023/05/09 15:30:00",TAS1,46.229,1,MEASUREMENT,"2023/05/09 15:49:16"
D,ROOFTOP,ACTUAL,2,"2023/05/09 15:30:00",TASN,28.074,1,MEASUREMENT,"2023/05/09 15:49:16"
D,ROOFTOP,ACTUAL,2,"2023/05/09 15:30:00",TASS,18.198,1,MEASUREMENT,"2023/05/09 15:49:16"
D,ROOFTOP,ACTUAL,2,"2023/05/09 15:30:00",VIC1,618.771,1,MEASUREMENT,"2023/05/09 15:49:16"
C,"END OF REPORT",13
