C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/09/01,13:30:02,0000000396066125,DEMAND,0000000396066125
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/09/01 13:00:00",NSW1,3180.306,0.7,MEASUREMENT,"2023/09/01 13:19:07"
D,ROOFTOP,ACTUAL,2,"2023/09/01 13:00:00",QLD1,3488.095,1,MEASUREMENT,"2023/09/01 13:19:07"
D,ROOFTOP,ACTUAL,2,"2023/09/01 13:00:00",QLDC,316.547,1,MEASUREMENT,"2023/09/01 13:19:07"
D,ROOFTOP,ACTUAL,2,"2023/09/01 13:00:00",QLDN,621.605,1,MEASUREMENT,"2023/09/01 13:19:07"
D,ROOFTOP,ACTUAL,2,"2023/09/01 13:00:00",QLDS,2549.943,1,MEASUREMENT,"2023/09/01 13:19:07"
D,ROOFTOP,ACTUAL,2,"2023/09/01 13:00:00",SA1,787.408,0.7,MEASUREMENT,"2023/09/01 13:19:07"
D,ROOFTOP,ACTUAL,2,"2023/09/01 13:00:00",TAS1,135.621,1,MEASUREMENT,"2023/09/01 13:19:07"
D,ROOFTOP,ACTUAL,2,"2023/09/01 13:00:00",TASN,82.655,1,MEASUREMENT,"2023/09/01 13:19:07"
D,ROOFTOP,ACTUAL,2,"2023/09/01 13:00:00",TASS,53.097,1,MEASUREMENT,"2023/09/01 13:19:07"
D,ROOFTOP,ACTUAL,2,"2023/09/01 13:00:00",VIC1,1441.407,1,MEASUREMENT,"2023/09/01 13:19:07"
C,"END OF REPORT",13
